Category: All categories

Day,distress: (United States)
2019-09-12,48
2019-09-13,44
2019-09-14,34
2019-09-15,43
2019-09-16,45
2019-09-17,45
2019-09-18,51
2019-09-19,43
2019-09-20,37
2019-09-21,29
2019-09-22,41
2019-09-23,45
2019-09-24,53
2019-09-25,52
2019-09-26,49
2019-09-27,42
2019-09-28,39
2019-09-29,33
2019-09-30,45
2019-10-01,52
2019-10-02,44
2019-10-03,59
2019-10-04,45
2019-10-05,36
2019-10-06,46
2019-10-07,52
2019-10-08,37
2019-10-09,38
2019-10-10,52
2019-10-11,45
2019-10-12,38
2019-10-13,39
2019-10-14,45
2019-10-15,48
2019-10-16,48
2019-10-17,40
2019-10-18,40
2019-10-19,29
2019-10-20,40
2019-10-21,42
2019-10-22,45
2019-10-23,53
2019-10-24,53
2019-10-25,51
2019-10-26,38
2019-10-27,40
2019-10-28,44
2019-10-29,43
2019-10-30,45
2019-10-31,47
2019-11-01,41
2019-11-02,38
2019-11-03,43
2019-11-04,49
2019-11-05,45
2019-11-06,45
2019-11-07,50
2019-11-08,47
2019-11-09,37
2019-11-10,28
2019-11-11,44
2019-11-12,45
2019-11-13,46
2019-11-14,44
2019-11-15,43
2019-11-16,37
2019-11-17,39
2019-11-18,47
2019-11-19,54
2019-11-20,43
2019-11-21,46
2019-11-22,42
2019-11-23,28
2019-11-24,37
2019-11-25,37
2019-11-26,39
2019-11-27,35
2019-11-28,19
2019-11-29,25
2019-11-30,37
2019-12-01,34
2019-12-02,49
2019-12-03,44
2019-12-04,53
2019-12-05,38
2019-12-06,45
2019-12-07,35
2019-12-08,31
2019-12-09,36
2019-12-10,44
2019-12-11,45
2019-12-12,50
2019-12-13,38
2019-12-14,31
2019-12-15,34
2019-12-16,39
2019-12-17,41
2019-12-18,38
2019-12-19,39
2019-12-20,36
2019-12-21,25
2019-12-22,24
2019-12-23,32
2019-12-24,24
2019-12-25,20
2019-12-26,26
2019-12-27,33
2019-12-28,25
2019-12-29,33
2019-12-30,31
2019-12-31,28
2020-01-01,26
2020-01-02,25
2020-01-03,32
2020-01-04,35
2020-01-05,27
2020-01-06,37
2020-01-07,31
2020-01-08,35
2020-01-09,45
2020-01-10,45
2020-01-11,42
2020-01-12,35
2020-01-13,42
2020-01-14,39
2020-01-15,43
2020-01-16,49
2020-01-17,45
2020-01-18,36
2020-01-19,38
2020-01-20,45
2020-01-21,39
2020-01-22,46
2020-01-23,42
2020-01-24,31
2020-01-25,37
2020-01-26,41
2020-01-27,44
2020-01-28,54
2020-01-29,45
2020-01-30,50
2020-01-31,45
2020-02-01,37
2020-02-02,42
2020-02-03,47
2020-02-04,50
2020-02-05,43
2020-02-06,43
2020-02-07,42
2020-02-08,41
2020-02-09,33
2020-02-10,47
2020-02-11,53
2020-02-12,51
2020-02-13,49
2020-02-14,46
2020-02-15,32
2020-02-16,38
2020-02-17,53
2020-02-18,51
2020-02-19,38
2020-02-20,46
2020-02-21,43
2020-02-22,30
2020-02-23,41
2020-02-24,61
2020-02-25,49
2020-02-26,58
2020-02-27,48
2020-02-28,42
2020-02-29,43
2020-03-01,40
2020-03-02,53
2020-03-03,47
2020-03-04,53
2020-03-05,47
2020-03-06,42
2020-03-07,45
2020-03-08,44
2020-03-09,38
2020-03-10,47
2020-03-11,40
2020-03-12,41
2020-03-13,44
2020-03-14,42
2020-03-15,39
2020-03-16,47
2020-03-17,50
2020-03-18,41
2020-03-19,48
2020-03-20,48
2020-03-21,48
2020-03-22,43
2020-03-23,57
2020-03-24,52
2020-03-25,58
2020-03-26,57
2020-03-27,52
2020-03-28,44
2020-03-29,54
2020-03-30,55
2020-03-31,50
2020-04-01,48
2020-04-02,50
2020-04-03,50
2020-04-04,49
2020-04-05,52
2020-04-06,65
2020-04-07,56
2020-04-08,56
2020-04-09,53
2020-04-10,47
2020-04-11,37
2020-04-12,42
2020-04-13,48
2020-04-14,51
2020-04-15,47
2020-04-16,43
2020-04-17,50
2020-04-18,44
2020-04-19,43
2020-04-20,50
2020-04-21,55
2020-04-22,56
2020-04-23,49
2020-04-24,51
2020-04-25,41
2020-04-26,52
2020-04-27,58
2020-04-28,50
2020-04-29,50
2020-04-30,58
2020-05-01,100
2020-05-02,44
2020-05-03,64
2020-05-04,51
2020-05-05,52
2020-05-06,47
2020-05-07,53
2020-05-08,50
