Category: All categories

Day,Dizziness: (United States)
2019-09-12,77
2019-09-13,72
2019-09-14,83
2019-09-15,73
2019-09-16,85
2019-09-17,84
2019-09-18,82
2019-09-19,75
2019-09-20,73
2019-09-21,77
2019-09-22,79
2019-09-23,87
2019-09-24,81
2019-09-25,82
2019-09-26,79
2019-09-27,67
2019-09-28,86
2019-09-29,67
2019-09-30,87
2019-10-01,85
2019-10-02,81
2019-10-03,82
2019-10-04,73
2019-10-05,71
2019-10-06,73
2019-10-07,84
2019-10-08,83
2019-10-09,80
2019-10-10,73
2019-10-11,69
2019-10-12,71
2019-10-13,72
2019-10-14,87
2019-10-15,81
2019-10-16,81
2019-10-17,79
2019-10-18,72
2019-10-19,80
2019-10-20,68
2019-10-21,77
2019-10-22,80
2019-10-23,82
2019-10-24,91
2019-10-25,65
2019-10-26,80
2019-10-27,71
2019-10-28,80
2019-10-29,80
2019-10-30,71
2019-10-31,64
2019-11-01,65
2019-11-02,66
2019-11-03,81
2019-11-04,82
2019-11-05,89
2019-11-06,84
2019-11-07,76
2019-11-08,72
2019-11-09,78
2019-11-10,71
2019-11-11,76
2019-11-12,89
2019-11-13,77
2019-11-14,75
2019-11-15,72
2019-11-16,78
2019-11-17,82
2019-11-18,79
2019-11-19,89
2019-11-20,85
2019-11-21,81
2019-11-22,73
2019-11-23,70
2019-11-24,77
2019-11-25,91
2019-11-26,85
2019-11-27,77
2019-11-28,70
2019-11-29,60
2019-11-30,67
2019-12-01,74
2019-12-02,77
2019-12-03,80
2019-12-04,77
2019-12-05,76
2019-12-06,76
2019-12-07,77
2019-12-08,72
2019-12-09,80
2019-12-10,76
2019-12-11,76
2019-12-12,81
2019-12-13,76
2019-12-14,76
2019-12-15,78
2019-12-16,76
2019-12-17,80
2019-12-18,75
2019-12-19,73
2019-12-20,71
2019-12-21,77
2019-12-22,76
2019-12-23,90
2019-12-24,82
2019-12-25,75
2019-12-26,93
2019-12-27,84
2019-12-28,92
2019-12-29,79
2019-12-30,86
2019-12-31,92
2020-01-01,74
2020-01-02,90
2020-01-03,84
2020-01-04,91
2020-01-05,89
2020-01-06,93
2020-01-07,91
2020-01-08,78
2020-01-09,82
2020-01-10,82
2020-01-11,84
2020-01-12,80
2020-01-13,79
2020-01-14,88
2020-01-15,87
2020-01-16,81
2020-01-17,79
2020-01-18,76
2020-01-19,77
2020-01-20,85
2020-01-21,92
2020-01-22,86
2020-01-23,80
2020-01-24,81
2020-01-25,84
2020-01-26,74
2020-01-27,85
2020-01-28,89
2020-01-29,86
2020-01-30,91
2020-01-31,84
2020-02-01,94
2020-02-02,90
2020-02-03,72
2020-02-04,92
2020-02-05,82
2020-02-06,81
2020-02-07,85
2020-02-08,76
2020-02-09,80
2020-02-10,91
2020-02-11,100
2020-02-12,91
2020-02-13,84
2020-02-14,76
2020-02-15,77
2020-02-16,88
2020-02-17,82
2020-02-18,92
2020-02-19,90
2020-02-20,81
2020-02-21,81
2020-02-22,83
2020-02-23,83
2020-02-24,84
2020-02-25,90
2020-02-26,89
2020-02-27,88
2020-02-28,72
2020-02-29,83
2020-03-01,70
2020-03-02,85
2020-03-03,81
2020-03-04,85
2020-03-05,77
2020-03-06,72
2020-03-07,79
2020-03-08,76
2020-03-09,90
2020-03-10,86
2020-03-11,78
2020-03-12,87
2020-03-13,70
2020-03-14,82
2020-03-15,74
2020-03-16,79
2020-03-17,71
2020-03-18,75
2020-03-19,81
2020-03-20,78
2020-03-21,84
2020-03-22,89
2020-03-23,84
2020-03-24,86
2020-03-25,90
2020-03-26,86
2020-03-27,91
2020-03-28,89
2020-03-29,88
2020-03-30,89
2020-03-31,86
2020-04-01,83
2020-04-02,79
2020-04-03,78
2020-04-04,92
2020-04-05,95
2020-04-06,79
2020-04-07,87
2020-04-08,82
2020-04-09,88
2020-04-10,74
2020-04-11,85
2020-04-12,84
2020-04-13,81
2020-04-14,80
2020-04-15,75
2020-04-16,75
2020-04-17,78
2020-04-18,76
2020-04-19,89
2020-04-20,88
2020-04-21,76
2020-04-22,73
2020-04-23,81
2020-04-24,74
2020-04-25,86
2020-04-26,91
2020-04-27,87
2020-04-28,81
2020-04-29,78
2020-04-30,78
2020-05-01,81
2020-05-02,85
2020-05-03,90
2020-05-04,78
2020-05-05,75
2020-05-06,74
2020-05-07,78
2020-05-08,75
