Category: All categories

Day,Insomnia: (United States)
2019-09-12,75
2019-09-13,67
2019-09-14,49
2019-09-15,53
2019-09-16,71
2019-09-17,71
2019-09-18,70
2019-09-19,60
2019-09-20,59
2019-09-21,57
2019-09-22,63
2019-09-23,65
2019-09-24,70
2019-09-25,66
2019-09-26,70
2019-09-27,67
2019-09-28,60
2019-09-29,50
2019-09-30,70
2019-10-01,62
2019-10-02,77
2019-10-03,66
2019-10-04,53
2019-10-05,63
2019-10-06,61
2019-10-07,72
2019-10-08,76
2019-10-09,63
2019-10-10,74
2019-10-11,56
2019-10-12,61
2019-10-13,57
2019-10-14,70
2019-10-15,69
2019-10-16,73
2019-10-17,78
2019-10-18,61
2019-10-19,57
2019-10-20,60
2019-10-21,75
2019-10-22,73
2019-10-23,88
2019-10-24,74
2019-10-25,67
2019-10-26,59
2019-10-27,59
2019-10-28,62
2019-10-29,74
2019-10-30,72
2019-10-31,65
2019-11-01,65
2019-11-02,58
2019-11-03,57
2019-11-04,68
2019-11-05,63
2019-11-06,64
2019-11-07,69
2019-11-08,69
2019-11-09,54
2019-11-10,51
2019-11-11,66
2019-11-12,71
2019-11-13,60
2019-11-14,58
2019-11-15,55
2019-11-16,61
2019-11-17,64
2019-11-18,63
2019-11-19,72
2019-11-20,55
2019-11-21,67
2019-11-22,60
2019-11-23,62
2019-11-24,57
2019-11-25,61
2019-11-26,68
2019-11-27,57
2019-11-28,43
2019-11-29,49
2019-11-30,59
2019-12-01,53
2019-12-02,70
2019-12-03,76
2019-12-04,88
2019-12-05,88
2019-12-06,59
2019-12-07,53
2019-12-08,47
2019-12-09,73
2019-12-10,77
2019-12-11,75
2019-12-12,64
2019-12-13,62
2019-12-14,54
2019-12-15,48
2019-12-16,67
2019-12-17,73
2019-12-18,70
2019-12-19,59
2019-12-20,59
2019-12-21,46
2019-12-22,47
2019-12-23,72
2019-12-24,50
2019-12-25,55
2019-12-26,52
2019-12-27,58
2019-12-28,56
2019-12-29,68
2019-12-30,80
2019-12-31,79
2020-01-01,53
2020-01-02,82
2020-01-03,85
2020-01-04,82
2020-01-05,71
2020-01-06,92
2020-01-07,100
2020-01-08,85
2020-01-09,81
2020-01-10,89
2020-01-11,61
2020-01-12,65
2020-01-13,73
2020-01-14,69
2020-01-15,84
2020-01-16,69
2020-01-17,83
2020-01-18,64
2020-01-19,55
2020-01-20,75
2020-01-21,78
2020-01-22,79
2020-01-23,82
2020-01-24,65
2020-01-25,71
2020-01-26,57
2020-01-27,76
2020-01-28,79
2020-01-29,69
2020-01-30,84
2020-01-31,59
2020-02-01,59
2020-02-02,63
2020-02-03,67
2020-02-04,81
2020-02-05,71
2020-02-06,71
2020-02-07,58
2020-02-08,53
2020-02-09,61
2020-02-10,63
2020-02-11,75
2020-02-12,69
2020-02-13,84
2020-02-14,64
2020-02-15,59
2020-02-16,60
2020-02-17,70
2020-02-18,65
2020-02-19,80
2020-02-20,74
2020-02-21,68
2020-02-22,57
2020-02-23,58
2020-02-24,72
2020-02-25,82
2020-02-26,80
2020-02-27,75
2020-02-28,63
2020-02-29,50
2020-03-01,51
2020-03-02,69
2020-03-03,67
2020-03-04,65
2020-03-05,73
2020-03-06,67
2020-03-07,57
2020-03-08,56
2020-03-09,70
2020-03-10,87
2020-03-11,83
2020-03-12,53
2020-03-13,58
2020-03-14,55
2020-03-15,54
2020-03-16,47
2020-03-17,50
2020-03-18,51
2020-03-19,59
2020-03-20,53
2020-03-21,56
2020-03-22,59
2020-03-23,66
2020-03-24,79
2020-03-25,69
2020-03-26,71
2020-03-27,72
2020-03-28,67
2020-03-29,80
2020-03-30,75
2020-03-31,75
2020-04-01,77
2020-04-02,75
2020-04-03,70
2020-04-04,73
2020-04-05,90
2020-04-06,82
2020-04-07,82
2020-04-08,86
2020-04-09,86
2020-04-10,89
2020-04-11,77
2020-04-12,84
2020-04-13,80
2020-04-14,78
2020-04-15,83
2020-04-16,81
2020-04-17,84
2020-04-18,68
2020-04-19,79
2020-04-20,86
2020-04-21,80
2020-04-22,83
2020-04-23,92
2020-04-24,84
2020-04-25,72
2020-04-26,77
2020-04-27,78
2020-04-28,78
2020-04-29,81
2020-04-30,76
2020-05-01,68
2020-05-02,83
2020-05-03,92
2020-05-04,87
2020-05-05,74
2020-05-06,77
2020-05-07,81
2020-05-08,74
