Category: All categories

Day,Anxiety: (United States)
2019-09-12,86
2019-09-13,79
2019-09-14,75
2019-09-15,74
2019-09-16,84
2019-09-17,89
2019-09-18,88
2019-09-19,81
2019-09-20,80
2019-09-21,67
2019-09-22,73
2019-09-23,91
2019-09-24,90
2019-09-25,91
2019-09-26,86
2019-09-27,78
2019-09-28,71
2019-09-29,83
2019-09-30,87
2019-10-01,89
2019-10-02,91
2019-10-03,91
2019-10-04,80
2019-10-05,71
2019-10-06,71
2019-10-07,91
2019-10-08,95
2019-10-09,86
2019-10-10,85
2019-10-11,81
2019-10-12,65
2019-10-13,71
2019-10-14,91
2019-10-15,90
2019-10-16,86
2019-10-17,91
2019-10-18,78
2019-10-19,70
2019-10-20,76
2019-10-21,95
2019-10-22,89
2019-10-23,91
2019-10-24,85
2019-10-25,82
2019-10-26,71
2019-10-27,77
2019-10-28,90
2019-10-29,92
2019-10-30,82
2019-10-31,80
2019-11-01,73
2019-11-02,68
2019-11-03,71
2019-11-04,88
2019-11-05,85
2019-11-06,90
2019-11-07,88
2019-11-08,80
2019-11-09,71
2019-11-10,73
2019-11-11,82
2019-11-12,81
2019-11-13,88
2019-11-14,89
2019-11-15,83
2019-11-16,74
2019-11-17,79
2019-11-18,100
2019-11-19,94
2019-11-20,91
2019-11-21,91
2019-11-22,80
2019-11-23,70
2019-11-24,77
2019-11-25,85
2019-11-26,86
2019-11-27,78
2019-11-28,61
2019-11-29,57
2019-11-30,63
2019-12-01,70
2019-12-02,83
2019-12-03,87
2019-12-04,90
2019-12-05,84
2019-12-06,78
2019-12-07,67
2019-12-08,72
2019-12-09,87
2019-12-10,84
2019-12-11,81
2019-12-12,83
2019-12-13,72
2019-12-14,80
2019-12-15,70
2019-12-16,83
2019-12-17,82
2019-12-18,77
2019-12-19,68
2019-12-20,70
2019-12-21,64
2019-12-22,69
2019-12-23,71
2019-12-24,63
2019-12-25,54
2019-12-26,71
2019-12-27,65
2019-12-28,70
2019-12-29,68
2019-12-30,79
2019-12-31,74
2020-01-01,68
2020-01-02,84
2020-01-03,85
2020-01-04,77
2020-01-05,75
2020-01-06,84
2020-01-07,88
2020-01-08,81
2020-01-09,85
2020-01-10,83
2020-01-11,68
2020-01-12,75
2020-01-13,90
2020-01-14,88
2020-01-15,88
2020-01-16,83
2020-01-17,82
2020-01-18,73
2020-01-19,74
2020-01-20,83
2020-01-21,94
2020-01-22,89
2020-01-23,91
2020-01-24,83
2020-01-25,79
2020-01-26,73
2020-01-27,87
2020-01-28,92
2020-01-29,88
2020-01-30,94
2020-01-31,85
2020-02-01,73
2020-02-02,75
2020-02-03,85
2020-02-04,87
2020-02-05,86
2020-02-06,82
2020-02-07,80
2020-02-08,75
2020-02-09,77
2020-02-10,88
2020-02-11,90
2020-02-12,89
2020-02-13,91
2020-02-14,75
2020-02-15,71
2020-02-16,80
2020-02-17,82
2020-02-18,90
2020-02-19,90
2020-02-20,95
2020-02-21,84
2020-02-22,74
2020-02-23,78
2020-02-24,89
2020-02-25,91
2020-02-26,89
2020-02-27,82
2020-02-28,81
2020-02-29,76
2020-03-01,71
2020-03-02,85
2020-03-03,87
2020-03-04,83
2020-03-05,88
2020-03-06,85
2020-03-07,72
2020-03-08,73
2020-03-09,91
2020-03-10,84
2020-03-11,80
2020-03-12,74
2020-03-13,72
2020-03-14,69
2020-03-15,74
2020-03-16,75
2020-03-17,76
2020-03-18,80
2020-03-19,77
2020-03-20,83
2020-03-21,80
2020-03-22,75
2020-03-23,92
2020-03-24,89
2020-03-25,85
2020-03-26,87
2020-03-27,81
2020-03-28,83
2020-03-29,83
2020-03-30,86
2020-03-31,84
2020-04-01,87
2020-04-02,87
2020-04-03,84
2020-04-04,83
2020-04-05,84
2020-04-06,87
2020-04-07,87
2020-04-08,86
2020-04-09,85
2020-04-10,79
2020-04-11,74
2020-04-12,81
2020-04-13,81
2020-04-14,82
2020-04-15,81
2020-04-16,80
2020-04-17,74
2020-04-18,77
2020-04-19,78
2020-04-20,90
2020-04-21,81
2020-04-22,86
2020-04-23,81
2020-04-24,79
2020-04-25,75
2020-04-26,80
2020-04-27,86
2020-04-28,84
2020-04-29,84
2020-04-30,83
2020-05-01,76
2020-05-02,76
2020-05-03,80
2020-05-04,77
2020-05-05,83
2020-05-06,85
2020-05-07,83
2020-05-08,72
