Category: All categories

Day,Posttraumatic stress disorder: (United States)
2019-09-12,60
2019-09-13,47
2019-09-14,43
2019-09-15,45
2019-09-16,52
2019-09-17,58
2019-09-18,54
2019-09-19,56
2019-09-20,48
2019-09-21,38
2019-09-22,41
2019-09-23,60
2019-09-24,61
2019-09-25,50
2019-09-26,60
2019-09-27,47
2019-09-28,45
2019-09-29,44
2019-09-30,54
2019-10-01,53
2019-10-02,58
2019-10-03,53
2019-10-04,58
2019-10-05,46
2019-10-06,45
2019-10-07,59
2019-10-08,62
2019-10-09,56
2019-10-10,65
2019-10-11,51
2019-10-12,42
2019-10-13,49
2019-10-14,56
2019-10-15,55
2019-10-16,58
2019-10-17,55
2019-10-18,57
2019-10-19,38
2019-10-20,44
2019-10-21,53
2019-10-22,61
2019-10-23,61
2019-10-24,58
2019-10-25,49
2019-10-26,42
2019-10-27,52
2019-10-28,59
2019-10-29,61
2019-10-30,59
2019-10-31,52
2019-11-01,53
2019-11-02,44
2019-11-03,40
2019-11-04,54
2019-11-05,67
2019-11-06,63
2019-11-07,61
2019-11-08,56
2019-11-09,52
2019-11-10,54
2019-11-11,86
2019-11-12,67
2019-11-13,65
2019-11-14,66
2019-11-15,67
2019-11-16,45
2019-11-17,47
2019-11-18,70
2019-11-19,65
2019-11-20,67
2019-11-21,58
2019-11-22,64
2019-11-23,44
2019-11-24,47
2019-11-25,50
2019-11-26,55
2019-11-27,49
2019-11-28,39
2019-11-29,40
2019-11-30,38
2019-12-01,44
2019-12-02,55
2019-12-03,61
2019-12-04,68
2019-12-05,60
2019-12-06,59
2019-12-07,45
2019-12-08,50
2019-12-09,54
2019-12-10,59
2019-12-11,63
2019-12-12,56
2019-12-13,51
2019-12-14,43
2019-12-15,37
2019-12-16,56
2019-12-17,52
2019-12-18,50
2019-12-19,52
2019-12-20,48
2019-12-21,32
2019-12-22,41
2019-12-23,43
2019-12-24,39
2019-12-25,32
2019-12-26,36
2019-12-27,43
2019-12-28,40
2019-12-29,39
2019-12-30,39
2019-12-31,35
2020-01-01,36
2020-01-02,49
2020-01-03,50
2020-01-04,43
2020-01-05,47
2020-01-06,54
2020-01-07,57
2020-01-08,55
2020-01-09,63
2020-01-10,56
2020-01-11,39
2020-01-12,51
2020-01-13,51
2020-01-14,56
2020-01-15,60
2020-01-16,61
2020-01-17,57
2020-01-18,46
2020-01-19,47
2020-01-20,47
2020-01-21,57
2020-01-22,61
2020-01-23,61
2020-01-24,60
2020-01-25,49
2020-01-26,48
2020-01-27,61
2020-01-28,56
2020-01-29,54
2020-01-30,49
2020-01-31,58
2020-02-01,47
2020-02-02,39
2020-02-03,48
2020-02-04,55
2020-02-05,59
2020-02-06,51
2020-02-07,47
2020-02-08,45
2020-02-09,53
2020-02-10,59
2020-02-11,68
2020-02-12,67
2020-02-13,67
2020-02-14,56
2020-02-15,47
2020-02-16,47
2020-02-17,51
2020-02-18,68
2020-02-19,65
2020-02-20,67
2020-02-21,63
2020-02-22,53
2020-02-23,51
2020-02-24,64
2020-02-25,65
2020-02-26,64
2020-02-27,77
2020-02-28,100
2020-02-29,75
2020-03-01,66
2020-03-02,78
2020-03-03,67
2020-03-04,73
2020-03-05,64
2020-03-06,75
2020-03-07,47
2020-03-08,57
2020-03-09,66
2020-03-10,69
2020-03-11,64
2020-03-12,55
2020-03-13,48
2020-03-14,52
2020-03-15,44
2020-03-16,46
2020-03-17,45
2020-03-18,49
2020-03-19,48
2020-03-20,42
2020-03-21,38
2020-03-22,42
2020-03-23,42
2020-03-24,48
2020-03-25,49
2020-03-26,52
2020-03-27,46
2020-03-28,46
2020-03-29,48
2020-03-30,47
2020-03-31,46
2020-04-01,47
2020-04-02,54
2020-04-03,50
2020-04-04,42
2020-04-05,44
2020-04-06,52
2020-04-07,58
2020-04-08,51
2020-04-09,55
2020-04-10,45
2020-04-11,45
2020-04-12,47
2020-04-13,47
2020-04-14,55
2020-04-15,58
2020-04-16,48
2020-04-17,50
2020-04-18,51
2020-04-19,50
2020-04-20,50
2020-04-21,56
2020-04-22,54
2020-04-23,59
2020-04-24,54
2020-04-25,54
2020-04-26,56
2020-04-27,57
2020-04-28,58
2020-04-29,50
2020-04-30,52
2020-05-01,52
2020-05-02,50
2020-05-03,44
2020-05-04,54
2020-05-05,52
2020-05-06,53
2020-05-07,55
2020-05-08,53
