Category: All categories

Day,SSRIs: (United States)
2019-09-12,28
2019-09-13,29
2019-09-14,9
2019-09-15,16
2019-09-16,57
2019-09-17,31
2019-09-18,35
2019-09-19,14
2019-09-20,14
2019-09-21,30
2019-09-22,33
2019-09-23,49
2019-09-24,14
2019-09-25,36
2019-09-26,40
2019-09-27,26
2019-09-28,18
2019-09-29,17
2019-09-30,11
2019-10-01,36
2019-10-02,43
2019-10-03,29
2019-10-04,22
2019-10-05,17
2019-10-06,17
2019-10-07,50
2019-10-08,44
2019-10-09,29
2019-10-10,36
2019-10-11,30
2019-10-12,48
2019-10-13,26
2019-10-14,22
2019-10-15,36
2019-10-16,25
2019-10-17,47
2019-10-18,26
2019-10-19,35
2019-10-20,12
2019-10-21,56
2019-10-22,41
2019-10-23,28
2019-10-24,53
2019-10-25,37
2019-10-26,22
2019-10-27,21
2019-10-28,38
2019-10-29,35
2019-10-30,28
2019-10-31,22
2019-11-01,27
2019-11-02,39
2019-11-03,21
2019-11-04,18
2019-11-05,35
2019-11-06,42
2019-11-07,18
2019-11-08,36
2019-11-09,25
2019-11-10,25
2019-11-11,39
2019-11-12,45
2019-11-13,31
2019-11-14,17
2019-11-15,21
2019-11-16,21
2019-11-17,37
2019-11-18,35
2019-11-19,46
2019-11-20,39
2019-11-21,32
2019-11-22,51
2019-11-23,37
2019-11-24,41
2019-11-25,29
2019-11-26,44
2019-11-27,34
2019-11-28,41
2019-11-29,24
2019-11-30,12
2019-12-01,24
2019-12-02,30
2019-12-03,24
2019-12-04,21
2019-12-05,39
2019-12-06,32
2019-12-07,46
2019-12-08,29
2019-12-09,29
2019-12-10,36
2019-12-11,32
2019-12-12,53
2019-12-13,25
2019-12-14,17
2019-12-15,25
2019-12-16,24
2019-12-17,21
2019-12-18,29
2019-12-19,40
2019-12-20,19
2019-12-21,26
2019-12-22,30
2019-12-23,20
2019-12-24,8
2019-12-25,14
2019-12-26,8
2019-12-27,19
2019-12-28,25
2019-12-29,24
2019-12-30,31
2019-12-31,20
2020-01-01,13
2020-01-02,19
2020-01-03,33
2020-01-04,20
2020-01-05,16
2020-01-06,32
2020-01-07,18
2020-01-08,39
2020-01-09,35
2020-01-10,38
2020-01-11,28
2020-01-12,51
2020-01-13,29
2020-01-14,21
2020-01-15,26
2020-01-16,20
2020-01-17,28
2020-01-18,28
2020-01-19,8
2020-01-20,26
2020-01-21,21
2020-01-22,34
2020-01-23,21
2020-01-24,14
2020-01-25,28
2020-01-26,30
2020-01-27,29
2020-01-28,17
2020-01-29,45
2020-01-30,56
2020-01-31,17
2020-02-01,36
2020-02-02,24
2020-02-03,41
2020-02-04,44
2020-02-05,44
2020-02-06,51
2020-02-07,21
2020-02-08,20
2020-02-09,48
2020-02-10,40
2020-02-11,43
2020-02-12,40
2020-02-13,21
2020-02-14,32
2020-02-15,32
2020-02-16,36
2020-02-17,29
2020-02-18,23
2020-02-19,40
2020-02-20,23
2020-02-21,34
2020-02-22,15
2020-02-23,47
2020-02-24,23
2020-02-25,39
2020-02-26,38
2020-02-27,29
2020-02-28,17
2020-02-29,23
2020-03-01,43
2020-03-02,13
2020-03-03,55
2020-03-04,22
2020-03-05,39
2020-03-06,53
2020-03-07,43
2020-03-08,31
2020-03-09,36
2020-03-10,26
2020-03-11,33
2020-03-12,44
2020-03-13,29
2020-03-14,8
2020-03-15,7
2020-03-16,19
2020-03-17,22
2020-03-18,10
2020-03-19,23
2020-03-20,35
2020-03-21,18
2020-03-22,26
2020-03-23,15
2020-03-24,32
2020-03-25,13
2020-03-26,16
2020-03-27,19
2020-03-28,46
2020-03-29,43
2020-03-30,21
2020-03-31,34
2020-04-01,40
2020-04-02,37
2020-04-03,31
2020-04-04,14
2020-04-05,29
2020-04-06,52
2020-04-07,31
2020-04-08,28
2020-04-09,22
2020-04-10,29
2020-04-11,21
2020-04-12,25
2020-04-13,34
2020-04-14,30
2020-04-15,100
2020-04-16,68
2020-04-17,30
2020-04-18,21
2020-04-19,28
2020-04-20,33
2020-04-21,24
2020-04-22,33
2020-04-23,23
2020-04-24,38
2020-04-25,38
2020-04-26,52
2020-04-27,30
2020-04-28,30
2020-04-29,30
2020-04-30,28
2020-05-01,40
2020-05-02,21
2020-05-03,40
2020-05-04,21
2020-05-05,26
2020-05-06,30
2020-05-07,25
2020-05-08,0
