Category: All categories

Day,fatigue: (United States)
2019-09-12,82
2019-09-13,67
2019-09-14,69
2019-09-15,77
2019-09-16,82
2019-09-17,84
2019-09-18,76
2019-09-19,81
2019-09-20,69
2019-09-21,62
2019-09-22,71
2019-09-23,85
2019-09-24,83
2019-09-25,79
2019-09-26,79
2019-09-27,72
2019-09-28,71
2019-09-29,66
2019-09-30,67
2019-10-01,76
2019-10-02,78
2019-10-03,78
2019-10-04,66
2019-10-05,72
2019-10-06,67
2019-10-07,78
2019-10-08,78
2019-10-09,85
2019-10-10,83
2019-10-11,68
2019-10-12,59
2019-10-13,69
2019-10-14,81
2019-10-15,74
2019-10-16,81
2019-10-17,81
2019-10-18,75
2019-10-19,68
2019-10-20,74
2019-10-21,71
2019-10-22,79
2019-10-23,83
2019-10-24,73
2019-10-25,71
2019-10-26,57
2019-10-27,75
2019-10-28,67
2019-10-29,81
2019-10-30,75
2019-10-31,70
2019-11-01,57
2019-11-02,63
2019-11-03,64
2019-11-04,80
2019-11-05,82
2019-11-06,80
2019-11-07,81
2019-11-08,61
2019-11-09,59
2019-11-10,63
2019-11-11,72
2019-11-12,72
2019-11-13,85
2019-11-14,74
2019-11-15,65
2019-11-16,52
2019-11-17,56
2019-11-18,84
2019-11-19,74
2019-11-20,79
2019-11-21,81
2019-11-22,59
2019-11-23,59
2019-11-24,61
2019-11-25,61
2019-11-26,74
2019-11-27,62
2019-11-28,42
2019-11-29,54
2019-11-30,51
2019-12-01,59
2019-12-02,71
2019-12-03,65
2019-12-04,78
2019-12-05,75
2019-12-06,72
2019-12-07,59
2019-12-08,57
2019-12-09,69
2019-12-10,74
2019-12-11,68
2019-12-12,74
2019-12-13,63
2019-12-14,57
2019-12-15,59
2019-12-16,71
2019-12-17,58
2019-12-18,58
2019-12-19,64
2019-12-20,62
2019-12-21,54
2019-12-22,71
2019-12-23,67
2019-12-24,60
2019-12-25,50
2019-12-26,61
2019-12-27,67
2019-12-28,59
2019-12-29,76
2019-12-30,67
2019-12-31,70
2020-01-01,63
2020-01-02,80
2020-01-03,73
2020-01-04,66
2020-01-05,71
2020-01-06,75
2020-01-07,74
2020-01-08,79
2020-01-09,83
2020-01-10,70
2020-01-11,73
2020-01-12,70
2020-01-13,73
2020-01-14,77
2020-01-15,82
2020-01-16,73
2020-01-17,75
2020-01-18,56
2020-01-19,64
2020-01-20,73
2020-01-21,66
2020-01-22,69
2020-01-23,78
2020-01-24,74
2020-01-25,61
2020-01-26,66
2020-01-27,76
2020-01-28,85
2020-01-29,75
2020-01-30,83
2020-01-31,67
2020-02-01,64
2020-02-02,68
2020-02-03,79
2020-02-04,83
2020-02-05,75
2020-02-06,74
2020-02-07,77
2020-02-08,70
2020-02-09,77
2020-02-10,70
2020-02-11,83
2020-02-12,87
2020-02-13,78
2020-02-14,79
2020-02-15,66
2020-02-16,84
2020-02-17,76
2020-02-18,87
2020-02-19,89
2020-02-20,88
2020-02-21,75
2020-02-22,70
2020-02-23,74
2020-02-24,95
2020-02-25,96
2020-02-26,83
2020-02-27,78
2020-02-28,76
2020-02-29,76
2020-03-01,72
2020-03-02,86
2020-03-03,93
2020-03-04,93
2020-03-05,92
2020-03-06,86
2020-03-07,71
2020-03-08,79
2020-03-09,94
2020-03-10,100
2020-03-11,91
2020-03-12,99
2020-03-13,90
2020-03-14,84
2020-03-15,75
2020-03-16,79
2020-03-17,81
2020-03-18,86
2020-03-19,84
2020-03-20,73
2020-03-21,72
2020-03-22,75
2020-03-23,71
2020-03-24,83
2020-03-25,83
2020-03-26,80
2020-03-27,76
2020-03-28,75
2020-03-29,80
2020-03-30,71
2020-03-31,75
2020-04-01,78
2020-04-02,84
2020-04-03,74
2020-04-04,68
2020-04-05,74
2020-04-06,70
2020-04-07,74
2020-04-08,73
2020-04-09,71
2020-04-10,59
2020-04-11,70
2020-04-12,65
2020-04-13,74
2020-04-14,64
2020-04-15,70
2020-04-16,74
2020-04-17,63
2020-04-18,69
2020-04-19,67
2020-04-20,62
2020-04-21,74
2020-04-22,79
2020-04-23,76
2020-04-24,75
2020-04-25,67
2020-04-26,71
2020-04-27,89
2020-04-28,89
2020-04-29,79
2020-04-30,76
2020-05-01,76
2020-05-02,70
2020-05-03,76
2020-05-04,77
2020-05-05,91
2020-05-06,82
2020-05-07,84
2020-05-08,85
