Category: All categories

Day,benzo: (United States)
2019-09-12,43
2019-09-13,33
2019-09-14,35
2019-09-15,30
2019-09-16,43
2019-09-17,28
2019-09-18,24
2019-09-19,34
2019-09-20,29
2019-09-21,36
2019-09-22,34
2019-09-23,27
2019-09-24,38
2019-09-25,16
2019-09-26,30
2019-09-27,34
2019-09-28,29
2019-09-29,30
2019-09-30,42
2019-10-01,97
2019-10-02,50
2019-10-03,67
2019-10-04,53
2019-10-05,42
2019-10-06,54
2019-10-07,100
2019-10-08,57
2019-10-09,42
2019-10-10,54
2019-10-11,34
2019-10-12,28
2019-10-13,75
2019-10-14,73
2019-10-15,36
2019-10-16,28
2019-10-17,59
2019-10-18,45
2019-10-19,46
2019-10-20,39
2019-10-21,47
2019-10-22,40
2019-10-23,42
2019-10-24,54
2019-10-25,42
2019-10-26,33
2019-10-27,36
2019-10-28,31
2019-10-29,32
2019-10-30,32
2019-10-31,37
2019-11-01,32
2019-11-02,37
2019-11-03,41
2019-11-04,29
2019-11-05,29
2019-11-06,34
2019-11-07,30
2019-11-08,39
2019-11-09,20
2019-11-10,32
2019-11-11,61
2019-11-12,43
2019-11-13,44
2019-11-14,30
2019-11-15,33
2019-11-16,47
2019-11-17,38
2019-11-18,54
2019-11-19,36
2019-11-20,54
2019-11-21,42
2019-11-22,43
2019-11-23,25
2019-11-24,32
2019-11-25,28
2019-11-26,51
2019-11-27,40
2019-11-28,30
2019-11-29,33
2019-11-30,20
2019-12-01,37
2019-12-02,30
2019-12-03,36
2019-12-04,39
2019-12-05,37
2019-12-06,28
2019-12-07,27
2019-12-08,28
2019-12-09,41
2019-12-10,38
2019-12-11,30
2019-12-12,36
2019-12-13,37
2019-12-14,35
2019-12-15,29
2019-12-16,47
2019-12-17,38
2019-12-18,37
2019-12-19,43
2019-12-20,23
2019-12-21,41
2019-12-22,23
2019-12-23,39
2019-12-24,19
2019-12-25,41
2019-12-26,25
2019-12-27,19
2019-12-28,33
2019-12-29,35
2019-12-30,26
2019-12-31,31
2020-01-01,29
2020-01-02,32
2020-01-03,37
2020-01-04,42
2020-01-05,42
2020-01-06,34
2020-01-07,29
2020-01-08,42
2020-01-09,46
2020-01-10,28
2020-01-11,31
2020-01-12,24
2020-01-13,35
2020-01-14,43
2020-01-15,34
2020-01-16,41
2020-01-17,33
2020-01-18,31
2020-01-19,25
2020-01-20,34
2020-01-21,42
2020-01-22,49
2020-01-23,39
2020-01-24,55
2020-01-25,48
2020-01-26,43
2020-01-27,34
2020-01-28,46
2020-01-29,49
2020-01-30,40
2020-01-31,40
2020-02-01,38
2020-02-02,29
2020-02-03,30
2020-02-04,37
2020-02-05,41
2020-02-06,39
2020-02-07,41
2020-02-08,47
2020-02-09,59
2020-02-10,31
2020-02-11,50
2020-02-12,38
2020-02-13,49
2020-02-14,27
2020-02-15,26
2020-02-16,31
2020-02-17,32
2020-02-18,45
2020-02-19,38
2020-02-20,46
2020-02-21,44
2020-02-22,44
2020-02-23,38
2020-02-24,27
2020-02-25,37
2020-02-26,52
2020-02-27,42
2020-02-28,50
2020-02-29,34
2020-03-01,27
2020-03-02,28
2020-03-03,31
2020-03-04,40
2020-03-05,32
2020-03-06,22
2020-03-07,35
2020-03-08,31
2020-03-09,33
2020-03-10,35
2020-03-11,25
2020-03-12,32
2020-03-13,46
2020-03-14,19
2020-03-15,27
2020-03-16,33
2020-03-17,39
2020-03-18,26
2020-03-19,27
2020-03-20,19
2020-03-21,27
2020-03-22,25
2020-03-23,25
2020-03-24,33
2020-03-25,26
2020-03-26,17
2020-03-27,21
2020-03-28,29
2020-03-29,17
2020-03-30,25
2020-03-31,32
2020-04-01,31
2020-04-02,34
2020-04-03,14
2020-04-04,30
2020-04-05,32
2020-04-06,29
2020-04-07,28
2020-04-08,25
2020-04-09,26
2020-04-10,17
2020-04-11,35
2020-04-12,28
2020-04-13,35
2020-04-14,37
2020-04-15,32
2020-04-16,28
2020-04-17,29
2020-04-18,32
2020-04-19,24
2020-04-20,24
2020-04-21,50
2020-04-22,42
2020-04-23,37
2020-04-24,28
2020-04-25,24
2020-04-26,32
2020-04-27,31
2020-04-28,27
2020-04-29,26
2020-04-30,25
2020-05-01,41
2020-05-02,26
2020-05-03,35
2020-05-04,26
2020-05-05,42
2020-05-06,31
2020-05-07,30
2020-05-08,32
