fearful,isPartial,date
63,False,2019-08-25
31,False,2019-09-01
30,False,2019-09-08
41,False,2019-09-15
61,False,2019-09-22
32,False,2019-09-29
32,False,2019-10-06
31,False,2019-10-13
46,False,2019-10-20
62,False,2019-10-27
30,False,2019-11-03
30,False,2019-11-10
30,False,2019-11-17
30,False,2019-11-24
29,False,2019-12-01
51,False,2019-12-08
31,False,2019-12-15
33,False,2019-12-22
0,False,2019-12-29
58,False,2020-01-05
0,False,2020-01-12
43,False,2020-01-19
38,False,2020-01-26
42,False,2020-02-02
42,False,2020-02-09
37,False,2020-02-16
27,False,2020-02-23
81,False,2020-03-01
81,False,2020-03-08
53,False,2020-03-15
39,False,2020-03-22
100,False,2020-03-29
34,False,2020-04-05
25,False,2020-04-12
87,False,2020-04-19
63,False,2020-04-26
25,False,2020-05-03
26,False,2020-05-10
53,False,2020-05-17
27,False,2020-05-24
38,False,2020-05-31
52,False,2020-06-07
43,False,2020-06-14
27,False,2020-06-21
42,False,2020-06-28
28,False,2020-07-05
56,False,2020-07-12
43,False,2020-07-19
55,False,2020-07-26
44,False,2020-08-02
39,False,2020-08-09
90,True,2020-08-16
