hypervigilant,isPartial,date
33,False,2019-08-25
40,False,2019-09-01
37,False,2019-09-08
47,False,2019-09-15
63,False,2019-09-22
69,False,2019-09-29
48,False,2019-10-06
58,False,2019-10-13
57,False,2019-10-20
31,False,2019-10-27
52,False,2019-11-03
36,False,2019-11-10
62,False,2019-11-17
27,False,2019-11-24
56,False,2019-12-01
46,False,2019-12-08
26,False,2019-12-15
26,False,2019-12-22
27,False,2019-12-29
53,False,2020-01-05
44,False,2020-01-12
71,False,2020-01-19
55,False,2020-01-26
35,False,2020-02-02
75,False,2020-02-09
49,False,2020-02-16
62,False,2020-02-23
100,False,2020-03-01
62,False,2020-03-08
75,False,2020-03-15
86,False,2020-03-22
93,False,2020-03-29
54,False,2020-04-05
57,False,2020-04-12
39,False,2020-04-19
57,False,2020-04-26
44,False,2020-05-03
32,False,2020-05-10
54,False,2020-05-17
70,False,2020-05-24
67,False,2020-05-31
64,False,2020-06-07
95,False,2020-06-14
77,False,2020-06-21
84,False,2020-06-28
34,False,2020-07-05
64,False,2020-07-12
60,False,2020-07-19
65,False,2020-07-26
34,False,2020-08-02
49,False,2020-08-09
51,True,2020-08-16
