nervous,isPartial,date
75,False,2019-09-08
95,False,2019-09-15
76,False,2019-09-22
80,False,2019-09-29
83,False,2019-10-06
79,False,2019-10-13
82,False,2019-10-20
74,False,2019-10-27
69,False,2019-11-03
59,False,2019-11-10
90,False,2019-11-17
71,False,2019-11-24
90,False,2019-12-01
81,False,2019-12-08
57,False,2019-12-15
32,False,2019-12-22
46,False,2019-12-29
63,False,2020-01-05
80,False,2020-01-12
83,False,2020-01-19
79,False,2020-01-26
78,False,2020-02-02
86,False,2020-02-09
71,False,2020-02-16
71,False,2020-02-23
66,False,2020-03-01
53,False,2020-03-08
52,False,2020-03-15
64,False,2020-03-22
64,False,2020-03-29
67,False,2020-04-05
78,False,2020-04-12
80,False,2020-04-19
79,False,2020-04-26
70,False,2020-05-03
62,False,2020-05-10
61,False,2020-05-17
31,False,2020-05-24
52,False,2020-05-31
45,False,2020-06-07
54,False,2020-06-14
34,False,2020-06-21
46,False,2020-06-28
56,False,2020-07-05
63,False,2020-07-12
35,False,2020-07-19
40,False,2020-07-26
51,False,2020-08-02
68,False,2020-08-09
65,False,2020-08-16
91,False,2020-08-23
100,True,2020-08-30
