phobia,isPartial,date
61,False,2019-08-25
49,False,2019-09-01
100,False,2019-09-08
56,False,2019-09-15
56,False,2019-09-22
82,False,2019-09-29
59,False,2019-10-06
64,False,2019-10-13
59,False,2019-10-20
42,False,2019-10-27
61,False,2019-11-03
36,False,2019-11-10
50,False,2019-11-17
62,False,2019-11-24
47,False,2019-12-01
42,False,2019-12-08
28,False,2019-12-15
48,False,2019-12-22
36,False,2019-12-29
47,False,2020-01-05
48,False,2020-01-12
33,False,2020-01-19
61,False,2020-01-26
45,False,2020-02-02
42,False,2020-02-09
31,False,2020-02-16
37,False,2020-02-23
34,False,2020-03-01
50,False,2020-03-08
34,False,2020-03-15
33,False,2020-03-22
51,False,2020-03-29
29,False,2020-04-05
43,False,2020-04-12
57,False,2020-04-19
34,False,2020-04-26
35,False,2020-05-03
50,False,2020-05-10
42,False,2020-05-17
58,False,2020-05-24
44,False,2020-05-31
47,False,2020-06-07
33,False,2020-06-14
58,False,2020-06-21
60,False,2020-06-28
45,False,2020-07-05
39,False,2020-07-12
45,False,2020-07-19
48,False,2020-07-26
49,False,2020-08-02
48,False,2020-08-09
52,True,2020-08-16
