scared,isPartial,date
93,False,2019-08-25
59,False,2019-09-01
78,False,2019-09-08
76,False,2019-09-15
76,False,2019-09-22
88,False,2019-09-29
61,False,2019-10-06
89,False,2019-10-13
85,False,2019-10-20
100,False,2019-10-27
74,False,2019-11-03
89,False,2019-11-10
82,False,2019-11-17
71,False,2019-11-24
67,False,2019-12-01
86,False,2019-12-08
63,False,2019-12-15
72,False,2019-12-22
68,False,2019-12-29
75,False,2020-01-05
72,False,2020-01-12
83,False,2020-01-19
61,False,2020-01-26
65,False,2020-02-02
64,False,2020-02-09
74,False,2020-02-16
66,False,2020-02-23
63,False,2020-03-01
96,False,2020-03-08
88,False,2020-03-15
89,False,2020-03-22
70,False,2020-03-29
85,False,2020-04-05
90,False,2020-04-12
74,False,2020-04-19
77,False,2020-04-26
82,False,2020-05-03
66,False,2020-05-10
81,False,2020-05-17
65,False,2020-05-24
86,False,2020-05-31
99,False,2020-06-07
78,False,2020-06-14
73,False,2020-06-21
82,False,2020-06-28
82,False,2020-07-05
74,False,2020-07-12
86,False,2020-07-19
92,False,2020-07-26
78,False,2020-08-02
81,False,2020-08-09
86,True,2020-08-16
