tense,isPartial,date
66,False,2019-09-08
46,False,2019-09-15
61,False,2019-09-22
62,False,2019-09-29
43,False,2019-10-06
61,False,2019-10-13
49,False,2019-10-20
47,False,2019-10-27
68,False,2019-11-03
51,False,2019-11-10
56,False,2019-11-17
48,False,2019-11-24
52,False,2019-12-01
76,False,2019-12-08
51,False,2019-12-15
9,False,2019-12-22
23,False,2019-12-29
40,False,2020-01-05
62,False,2020-01-12
67,False,2020-01-19
66,False,2020-01-26
57,False,2020-02-02
68,False,2020-02-09
48,False,2020-02-16
64,False,2020-02-23
59,False,2020-03-01
44,False,2020-03-08
39,False,2020-03-15
55,False,2020-03-22
62,False,2020-03-29
82,False,2020-04-05
50,False,2020-04-12
93,False,2020-04-19
61,False,2020-04-26
52,False,2020-05-03
68,False,2020-05-10
54,False,2020-05-17
33,False,2020-05-24
26,False,2020-05-31
39,False,2020-06-07
35,False,2020-06-14
32,False,2020-06-21
26,False,2020-06-28
33,False,2020-07-05
32,False,2020-07-12
37,False,2020-07-19
46,False,2020-07-26
36,False,2020-08-02
64,False,2020-08-09
75,False,2020-08-16
100,False,2020-08-23
93,True,2020-08-30
