anxiety,isPartial,date
94,False,2019-09-08
94,False,2019-09-15
94,False,2019-09-22
95,False,2019-09-29
95,False,2019-10-06
92,False,2019-10-13
97,False,2019-10-20
92,False,2019-10-27
93,False,2019-11-03
93,False,2019-11-10
97,False,2019-11-17
82,False,2019-11-24
92,False,2019-12-01
90,False,2019-12-08
83,False,2019-12-15
76,False,2019-12-22
87,False,2019-12-29
94,False,2020-01-05
94,False,2020-01-12
94,False,2020-01-19
95,False,2020-01-26
91,False,2020-02-02
92,False,2020-02-09
98,False,2020-02-16
98,False,2020-02-23
93,False,2020-03-01
89,False,2020-03-08
85,False,2020-03-15
94,False,2020-03-22
94,False,2020-03-29
92,False,2020-04-05
87,False,2020-04-12
89,False,2020-04-19
92,False,2020-04-26
89,False,2020-05-03
88,False,2020-05-10
89,False,2020-05-17
86,False,2020-05-24
83,False,2020-05-31
90,False,2020-06-07
96,False,2020-06-14
97,False,2020-06-21
97,False,2020-06-28
100,False,2020-07-05
97,False,2020-07-12
99,False,2020-07-19
95,False,2020-07-26
94,False,2020-08-02
94,False,2020-08-09
97,False,2020-08-16
98,False,2020-08-23
94,True,2020-08-30
