fearful,isPartial,date
56,False,2019-08-25
47,False,2019-09-01
58,False,2019-09-08
61,False,2019-09-15
55,False,2019-09-22
55,False,2019-09-29
56,False,2019-10-06
53,False,2019-10-13
53,False,2019-10-20
65,False,2019-10-27
58,False,2019-11-03
55,False,2019-11-10
62,False,2019-11-17
47,False,2019-11-24
56,False,2019-12-01
57,False,2019-12-08
47,False,2019-12-15
35,False,2019-12-22
44,False,2019-12-29
44,False,2020-01-05
48,False,2020-01-12
54,False,2020-01-19
75,False,2020-01-26
63,False,2020-02-02
62,False,2020-02-09
67,False,2020-02-16
83,False,2020-02-23
71,False,2020-03-01
100,False,2020-03-08
87,False,2020-03-15
75,False,2020-03-22
86,False,2020-03-29
79,False,2020-04-05
77,False,2020-04-12
91,False,2020-04-19
87,False,2020-04-26
92,False,2020-05-03
75,False,2020-05-10
71,False,2020-05-17
59,False,2020-05-24
64,False,2020-05-31
50,False,2020-06-07
66,False,2020-06-14
60,False,2020-06-21
55,False,2020-06-28
49,False,2020-07-05
48,False,2020-07-12
57,False,2020-07-19
55,False,2020-07-26
47,False,2020-08-02
61,False,2020-08-09
59,True,2020-08-16
