scared,isPartial,date
75,False,2019-08-25
73,False,2019-09-01
64,False,2019-09-08
84,False,2019-09-15
79,False,2019-09-22
80,False,2019-09-29
82,False,2019-10-06
73,False,2019-10-13
80,False,2019-10-20
77,False,2019-10-27
72,False,2019-11-03
67,False,2019-11-10
62,False,2019-11-17
55,False,2019-11-24
58,False,2019-12-01
74,False,2019-12-08
55,False,2019-12-15
62,False,2019-12-22
73,False,2019-12-29
72,False,2020-01-05
60,False,2020-01-12
73,False,2020-01-19
75,False,2020-01-26
64,False,2020-02-02
69,False,2020-02-09
67,False,2020-02-16
72,False,2020-02-23
73,False,2020-03-01
80,False,2020-03-08
92,False,2020-03-15
100,False,2020-03-22
91,False,2020-03-29
80,False,2020-04-05
72,False,2020-04-12
85,False,2020-04-19
94,False,2020-04-26
79,False,2020-05-03
84,False,2020-05-10
93,False,2020-05-17
83,False,2020-05-24
86,False,2020-05-31
82,False,2020-06-07
84,False,2020-06-14
79,False,2020-06-21
78,False,2020-06-28
88,False,2020-07-05
84,False,2020-07-12
76,False,2020-07-19
94,False,2020-07-26
77,False,2020-08-02
83,False,2020-08-09
82,True,2020-08-16
