tense,isPartial,date
54,False,2019-08-25
47,False,2019-09-01
73,False,2019-09-08
71,False,2019-09-15
76,False,2019-09-22
71,False,2019-09-29
80,False,2019-10-06
66,False,2019-10-13
69,False,2019-10-20
76,False,2019-10-27
79,False,2019-11-03
67,False,2019-11-10
70,False,2019-11-17
44,False,2019-11-24
69,False,2019-12-01
79,False,2019-12-08
69,False,2019-12-15
29,False,2019-12-22
33,False,2019-12-29
54,False,2020-01-05
80,False,2020-01-12
62,False,2020-01-19
71,False,2020-01-26
80,False,2020-02-02
70,False,2020-02-09
76,False,2020-02-16
77,False,2020-02-23
68,False,2020-03-01
71,False,2020-03-08
53,False,2020-03-15
72,False,2020-03-22
94,False,2020-03-29
91,False,2020-04-05
90,False,2020-04-12
100,False,2020-04-19
100,False,2020-04-26
94,False,2020-05-03
86,False,2020-05-10
93,False,2020-05-17
64,False,2020-05-24
50,False,2020-05-31
41,False,2020-06-07
53,False,2020-06-14
45,False,2020-06-21
50,False,2020-06-28
48,False,2020-07-05
57,False,2020-07-12
58,False,2020-07-19
55,False,2020-07-26
50,False,2020-08-02
51,False,2020-08-09
68,True,2020-08-16
