anxious,isPartial,date
36,False,2019-09-08
100,False,2019-09-15
19,False,2019-09-22
52,False,2019-09-29
29,False,2019-10-06
39,False,2019-10-13
63,False,2019-10-20
29,False,2019-10-27
21,False,2019-11-03
42,False,2019-11-10
28,False,2019-11-17
30,False,2019-11-24
42,False,2019-12-01
36,False,2019-12-08
24,False,2019-12-15
16,False,2019-12-22
53,False,2019-12-29
42,False,2020-01-05
22,False,2020-01-12
27,False,2020-01-19
45,False,2020-01-26
41,False,2020-02-02
27,False,2020-02-09
13,False,2020-02-16
30,False,2020-02-23
33,False,2020-03-01
27,False,2020-03-08
35,False,2020-03-15
34,False,2020-03-22
36,False,2020-03-29
12,False,2020-04-05
39,False,2020-04-12
35,False,2020-04-19
20,False,2020-04-26
42,False,2020-05-03
20,False,2020-05-10
58,False,2020-05-17
22,False,2020-05-24
20,False,2020-05-31
22,False,2020-06-07
18,False,2020-06-14
42,False,2020-06-21
35,False,2020-06-28
34,False,2020-07-05
21,False,2020-07-12
19,False,2020-07-19
43,False,2020-07-26
29,False,2020-08-02
62,False,2020-08-09
33,False,2020-08-16
55,False,2020-08-23
0,True,2020-08-30
