phobia,isPartial,date
67,False,2019-08-25
51,False,2019-09-01
49,False,2019-09-08
57,False,2019-09-15
75,False,2019-09-22
57,False,2019-09-29
50,False,2019-10-06
42,False,2019-10-13
100,False,2019-10-20
49,False,2019-10-27
66,False,2019-11-03
37,False,2019-11-10
49,False,2019-11-17
52,False,2019-11-24
65,False,2019-12-01
58,False,2019-12-08
63,False,2019-12-15
57,False,2019-12-22
39,False,2019-12-29
65,False,2020-01-05
58,False,2020-01-12
47,False,2020-01-19
39,False,2020-01-26
79,False,2020-02-02
35,False,2020-02-09
47,False,2020-02-16
45,False,2020-02-23
39,False,2020-03-01
46,False,2020-03-08
46,False,2020-03-15
33,False,2020-03-22
49,False,2020-03-29
53,False,2020-04-05
60,False,2020-04-12
68,False,2020-04-19
94,False,2020-04-26
35,False,2020-05-03
49,False,2020-05-10
74,False,2020-05-17
38,False,2020-05-24
38,False,2020-05-31
99,False,2020-06-07
55,False,2020-06-14
48,False,2020-06-21
41,False,2020-06-28
94,False,2020-07-05
48,False,2020-07-12
49,False,2020-07-19
66,False,2020-07-26
50,False,2020-08-02
50,False,2020-08-09
88,True,2020-08-16
