scared,isPartial,date
26,False,2019-08-25
36,False,2019-09-01
55,False,2019-09-08
73,False,2019-09-15
58,False,2019-09-22
64,False,2019-09-29
56,False,2019-10-06
43,False,2019-10-13
68,False,2019-10-20
52,False,2019-10-27
90,False,2019-11-03
61,False,2019-11-10
70,False,2019-11-17
71,False,2019-11-24
41,False,2019-12-01
58,False,2019-12-08
72,False,2019-12-15
52,False,2019-12-22
55,False,2019-12-29
63,False,2020-01-05
63,False,2020-01-12
46,False,2020-01-19
58,False,2020-01-26
34,False,2020-02-02
58,False,2020-02-09
39,False,2020-02-16
47,False,2020-02-23
48,False,2020-03-01
69,False,2020-03-08
75,False,2020-03-15
69,False,2020-03-22
74,False,2020-03-29
50,False,2020-04-05
52,False,2020-04-12
96,False,2020-04-19
54,False,2020-04-26
100,False,2020-05-03
69,False,2020-05-10
58,False,2020-05-17
75,False,2020-05-24
99,False,2020-05-31
54,False,2020-06-07
64,False,2020-06-14
63,False,2020-06-21
58,False,2020-06-28
58,False,2020-07-05
44,False,2020-07-12
70,False,2020-07-19
52,False,2020-07-26
59,False,2020-08-02
29,False,2020-08-09
51,True,2020-08-16
