tense,isPartial,date
47,False,2019-09-08
37,False,2019-09-15
58,False,2019-09-22
68,False,2019-09-29
63,False,2019-10-06
35,False,2019-10-13
34,False,2019-10-20
47,False,2019-10-27
38,False,2019-11-03
64,False,2019-11-10
80,False,2019-11-17
14,False,2019-11-24
40,False,2019-12-01
51,False,2019-12-08
56,False,2019-12-15
20,False,2019-12-22
11,False,2019-12-29
47,False,2020-01-05
54,False,2020-01-12
42,False,2020-01-19
51,False,2020-01-26
58,False,2020-02-02
58,False,2020-02-09
58,False,2020-02-16
47,False,2020-02-23
69,False,2020-03-01
35,False,2020-03-08
24,False,2020-03-15
30,False,2020-03-22
46,False,2020-03-29
100,False,2020-04-05
66,False,2020-04-12
54,False,2020-04-19
58,False,2020-04-26
63,False,2020-05-03
35,False,2020-05-10
52,False,2020-05-17
22,False,2020-05-24
47,False,2020-05-31
32,False,2020-06-07
19,False,2020-06-14
37,False,2020-06-21
44,False,2020-06-28
49,False,2020-07-05
25,False,2020-07-12
25,False,2020-07-19
38,False,2020-07-26
28,False,2020-08-02
37,False,2020-08-09
31,False,2020-08-16
33,False,2020-08-23
0,True,2020-08-30
