phobia,isPartial,date
29,False,2019-09-08
0,False,2019-09-15
43,False,2019-09-22
29,False,2019-09-29
29,False,2019-10-06
0,False,2019-10-13
59,False,2019-10-20
58,False,2019-10-27
97,False,2019-11-03
58,False,2019-11-10
58,False,2019-11-17
31,False,2019-11-24
0,False,2019-12-01
40,False,2019-12-08
40,False,2019-12-15
0,False,2019-12-22
61,False,2019-12-29
44,False,2020-01-05
28,False,2020-01-12
30,False,2020-01-19
48,False,2020-01-26
0,False,2020-02-02
29,False,2020-02-09
44,False,2020-02-16
55,False,2020-02-23
100,False,2020-03-01
27,False,2020-03-08
26,False,2020-03-15
41,False,2020-03-22
31,False,2020-03-29
48,False,2020-04-05
46,False,2020-04-12
24,False,2020-04-19
46,False,2020-04-26
94,False,2020-05-03
37,False,2020-05-10
25,False,2020-05-17
38,False,2020-05-24
24,False,2020-05-31
37,False,2020-06-07
26,False,2020-06-14
26,False,2020-06-21
51,False,2020-06-28
0,False,2020-07-05
51,False,2020-07-12
39,False,2020-07-19
51,False,2020-07-26
26,False,2020-08-02
0,False,2020-08-09
26,False,2020-08-16
38,False,2020-08-23
0,True,2020-08-30
