phobic,isPartial,date
70,False,2019-08-25
97,False,2019-09-01
81,False,2019-09-08
67,False,2019-09-15
51,False,2019-09-22
65,False,2019-09-29
62,False,2019-10-06
39,False,2019-10-13
86,False,2019-10-20
70,False,2019-10-27
89,False,2019-11-03
68,False,2019-11-10
74,False,2019-11-17
67,False,2019-11-24
81,False,2019-12-01
85,False,2019-12-08
59,False,2019-12-15
53,False,2019-12-22
44,False,2019-12-29
68,False,2020-01-05
52,False,2020-01-12
46,False,2020-01-19
72,False,2020-01-26
45,False,2020-02-02
72,False,2020-02-09
73,False,2020-02-16
82,False,2020-02-23
81,False,2020-03-01
76,False,2020-03-08
100,False,2020-03-15
80,False,2020-03-22
80,False,2020-03-29
84,False,2020-04-05
77,False,2020-04-12
79,False,2020-04-19
70,False,2020-04-26
75,False,2020-05-03
89,False,2020-05-10
67,False,2020-05-17
50,False,2020-05-24
72,False,2020-05-31
78,False,2020-06-07
66,False,2020-06-14
74,False,2020-06-21
82,False,2020-06-28
78,False,2020-07-05
60,False,2020-07-12
53,False,2020-07-19
72,False,2020-07-26
79,False,2020-08-02
97,False,2020-08-09
81,True,2020-08-16
