scared,isPartial,date
55,False,2019-09-08
46,False,2019-09-15
36,False,2019-09-22
83,False,2019-09-29
55,False,2019-10-06
58,False,2019-10-13
74,False,2019-10-20
28,False,2019-10-27
55,False,2019-11-03
84,False,2019-11-10
56,False,2019-11-17
59,False,2019-11-24
28,False,2019-12-01
57,False,2019-12-08
29,False,2019-12-15
43,False,2019-12-22
58,False,2019-12-29
47,False,2020-01-05
27,False,2020-01-12
57,False,2020-01-19
64,False,2020-01-26
63,False,2020-02-02
100,False,2020-02-09
57,False,2020-02-16
61,False,2020-02-23
60,False,2020-03-01
52,False,2020-03-08
57,False,2020-03-15
63,False,2020-03-22
95,False,2020-03-29
46,False,2020-04-05
74,False,2020-04-12
62,False,2020-04-19
59,False,2020-04-26
97,False,2020-05-03
47,False,2020-05-10
73,False,2020-05-17
40,False,2020-05-24
69,False,2020-05-31
39,False,2020-06-07
67,False,2020-06-14
33,False,2020-06-21
64,False,2020-06-28
32,False,2020-07-05
33,False,2020-07-12
58,False,2020-07-19
81,False,2020-07-26
32,False,2020-08-02
49,False,2020-08-09
41,False,2020-08-16
40,False,2020-08-23
0,True,2020-08-30
