nervous,isPartial,date
42,False,2019-08-25
46,False,2019-09-01
65,False,2019-09-08
60,False,2019-09-15
76,False,2019-09-22
35,False,2019-09-29
66,False,2019-10-06
51,False,2019-10-13
52,False,2019-10-20
58,False,2019-10-27
59,False,2019-11-03
74,False,2019-11-10
50,False,2019-11-17
47,False,2019-11-24
56,False,2019-12-01
75,False,2019-12-08
39,False,2019-12-15
27,False,2019-12-22
29,False,2019-12-29
47,False,2020-01-05
61,False,2020-01-12
52,False,2020-01-19
86,False,2020-01-26
45,False,2020-02-02
85,False,2020-02-09
83,False,2020-02-16
80,False,2020-02-23
100,False,2020-03-01
67,False,2020-03-08
41,False,2020-03-15
78,False,2020-03-22
86,False,2020-03-29
65,False,2020-04-05
41,False,2020-04-12
71,False,2020-04-19
73,False,2020-04-26
57,False,2020-05-03
60,False,2020-05-10
61,False,2020-05-17
36,False,2020-05-24
54,False,2020-05-31
28,False,2020-06-07
41,False,2020-06-14
31,False,2020-06-21
29,False,2020-06-28
24,False,2020-07-05
41,False,2020-07-12
33,False,2020-07-19
29,False,2020-07-26
23,False,2020-08-02
21,False,2020-08-09
37,True,2020-08-16
