phobia,isPartial,date
56,False,2019-09-08
85,False,2019-09-15
57,False,2019-09-22
34,False,2019-09-29
98,False,2019-10-06
68,False,2019-10-13
73,False,2019-10-20
68,False,2019-10-27
28,False,2019-11-03
76,False,2019-11-10
100,False,2019-11-17
44,False,2019-11-24
77,False,2019-12-01
95,False,2019-12-08
46,False,2019-12-15
44,False,2019-12-22
35,False,2019-12-29
54,False,2020-01-05
51,False,2020-01-12
33,False,2020-01-19
42,False,2020-01-26
47,False,2020-02-02
37,False,2020-02-09
41,False,2020-02-16
75,False,2020-02-23
40,False,2020-03-01
41,False,2020-03-08
45,False,2020-03-15
67,False,2020-03-22
72,False,2020-03-29
29,False,2020-04-05
38,False,2020-04-12
72,False,2020-04-19
47,False,2020-04-26
42,False,2020-05-03
43,False,2020-05-10
35,False,2020-05-17
43,False,2020-05-24
43,False,2020-05-31
52,False,2020-06-07
53,False,2020-06-14
35,False,2020-06-21
21,False,2020-06-28
52,False,2020-07-05
42,False,2020-07-12
32,False,2020-07-19
32,False,2020-07-26
42,False,2020-08-02
16,False,2020-08-09
32,False,2020-08-16
20,False,2020-08-23
66,True,2020-08-30
