tense,isPartial,date
47,False,2019-08-25
46,False,2019-09-01
45,False,2019-09-08
49,False,2019-09-15
76,False,2019-09-22
49,False,2019-09-29
65,False,2019-10-06
58,False,2019-10-13
65,False,2019-10-20
53,False,2019-10-27
72,False,2019-11-03
56,False,2019-11-10
55,False,2019-11-17
45,False,2019-11-24
49,False,2019-12-01
73,False,2019-12-08
36,False,2019-12-15
15,False,2019-12-22
17,False,2019-12-29
49,False,2020-01-05
38,False,2020-01-12
36,False,2020-01-19
40,False,2020-01-26
50,False,2020-02-02
75,False,2020-02-09
44,False,2020-02-16
57,False,2020-02-23
67,False,2020-03-01
51,False,2020-03-08
50,False,2020-03-15
80,False,2020-03-22
83,False,2020-03-29
81,False,2020-04-05
58,False,2020-04-12
70,False,2020-04-19
100,False,2020-04-26
56,False,2020-05-03
67,False,2020-05-10
67,False,2020-05-17
46,False,2020-05-24
27,False,2020-05-31
32,False,2020-06-07
29,False,2020-06-14
32,False,2020-06-21
13,False,2020-06-28
35,False,2020-07-05
25,False,2020-07-12
21,False,2020-07-19
19,False,2020-07-26
25,False,2020-08-02
30,False,2020-08-09
31,True,2020-08-16
