anxiety,isPartial,date
89,False,2019-08-25
78,False,2019-09-01
87,False,2019-09-08
75,False,2019-09-15
92,False,2019-09-22
84,False,2019-09-29
81,False,2019-10-06
81,False,2019-10-13
91,False,2019-10-20
78,False,2019-10-27
81,False,2019-11-03
82,False,2019-11-10
99,False,2019-11-17
74,False,2019-11-24
90,False,2019-12-01
88,False,2019-12-08
78,False,2019-12-15
66,False,2019-12-22
78,False,2019-12-29
89,False,2020-01-05
88,False,2020-01-12
97,False,2020-01-19
87,False,2020-01-26
91,False,2020-02-02
90,False,2020-02-09
87,False,2020-02-16
94,False,2020-02-23
93,False,2020-03-01
81,False,2020-03-08
82,False,2020-03-15
87,False,2020-03-22
83,False,2020-03-29
77,False,2020-04-05
75,False,2020-04-12
76,False,2020-04-19
78,False,2020-04-26
74,False,2020-05-03
77,False,2020-05-10
88,False,2020-05-17
80,False,2020-05-24
77,False,2020-05-31
86,False,2020-06-07
85,False,2020-06-14
79,False,2020-06-21
86,False,2020-06-28
100,False,2020-07-05
77,False,2020-07-12
84,False,2020-07-19
77,False,2020-07-26
71,False,2020-08-02
74,False,2020-08-09
90,True,2020-08-16
