fearful,isPartial,date
31,False,2019-08-25
31,False,2019-09-01
90,False,2019-09-08
0,False,2019-09-15
30,False,2019-09-22
73,False,2019-09-29
43,False,2019-10-06
31,False,2019-10-13
31,False,2019-10-20
53,False,2019-10-27
62,False,2019-11-03
30,False,2019-11-10
30,False,2019-11-17
31,False,2019-11-24
29,False,2019-12-01
30,False,2019-12-08
46,False,2019-12-15
0,False,2019-12-22
63,False,2019-12-29
48,False,2020-01-05
27,False,2020-01-12
39,False,2020-01-19
58,False,2020-01-26
29,False,2020-02-02
29,False,2020-02-09
45,False,2020-02-16
42,False,2020-02-23
27,False,2020-03-01
27,False,2020-03-08
27,False,2020-03-15
52,False,2020-03-22
43,False,2020-03-29
71,False,2020-04-05
26,False,2020-04-12
42,False,2020-04-19
25,False,2020-04-26
77,False,2020-05-03
61,False,2020-05-10
26,False,2020-05-17
52,False,2020-05-24
50,False,2020-05-31
58,False,2020-06-07
27,False,2020-06-14
27,False,2020-06-21
56,False,2020-06-28
38,False,2020-07-05
59,False,2020-07-12
29,False,2020-07-19
58,False,2020-07-26
47,False,2020-08-02
29,False,2020-08-09
100,True,2020-08-16
