nervous,isPartial,date
84,False,2019-09-08
55,False,2019-09-15
63,False,2019-09-22
64,False,2019-09-29
76,False,2019-10-06
100,False,2019-10-13
83,False,2019-10-20
97,False,2019-10-27
82,False,2019-11-03
58,False,2019-11-10
91,False,2019-11-17
50,False,2019-11-24
72,False,2019-12-01
80,False,2019-12-08
53,False,2019-12-15
44,False,2019-12-22
38,False,2019-12-29
68,False,2020-01-05
62,False,2020-01-12
85,False,2020-01-19
66,False,2020-01-26
80,False,2020-02-02
76,False,2020-02-09
86,False,2020-02-16
79,False,2020-02-23
71,False,2020-03-01
77,False,2020-03-08
52,False,2020-03-15
48,False,2020-03-22
41,False,2020-03-29
52,False,2020-04-05
58,False,2020-04-12
60,False,2020-04-19
87,False,2020-04-26
68,False,2020-05-03
58,False,2020-05-10
58,False,2020-05-17
63,False,2020-05-24
53,False,2020-05-31
60,False,2020-06-07
58,False,2020-06-14
50,False,2020-06-21
45,False,2020-06-28
44,False,2020-07-05
41,False,2020-07-12
50,False,2020-07-19
32,False,2020-07-26
52,False,2020-08-02
48,False,2020-08-09
43,False,2020-08-16
32,False,2020-08-23
75,True,2020-08-30
