phobia,isPartial,date
20,False,2019-08-25
32,False,2019-09-01
53,False,2019-09-08
94,False,2019-09-15
50,False,2019-09-22
52,False,2019-09-29
40,False,2019-10-06
42,False,2019-10-13
39,False,2019-10-20
100,False,2019-10-27
45,False,2019-11-03
53,False,2019-11-10
37,False,2019-11-17
73,False,2019-11-24
43,False,2019-12-01
32,False,2019-12-08
64,False,2019-12-15
14,False,2019-12-22
62,False,2019-12-29
57,False,2020-01-05
40,False,2020-01-12
52,False,2020-01-19
42,False,2020-01-26
60,False,2020-02-02
55,False,2020-02-09
52,False,2020-02-16
44,False,2020-02-23
40,False,2020-03-01
54,False,2020-03-08
37,False,2020-03-15
52,False,2020-03-22
52,False,2020-03-29
39,False,2020-04-05
41,False,2020-04-12
37,False,2020-04-19
36,False,2020-04-26
40,False,2020-05-03
49,False,2020-05-10
32,False,2020-05-17
49,False,2020-05-24
44,False,2020-05-31
57,False,2020-06-07
52,False,2020-06-14
49,False,2020-06-21
35,False,2020-06-28
41,False,2020-07-05
52,False,2020-07-12
61,False,2020-07-19
72,False,2020-07-26
56,False,2020-08-02
46,False,2020-08-09
16,True,2020-08-16
