scared,isPartial,date
59,False,2019-09-08
69,False,2019-09-15
82,False,2019-09-22
65,False,2019-09-29
83,False,2019-10-06
61,False,2019-10-13
100,False,2019-10-20
75,False,2019-10-27
76,False,2019-11-03
60,False,2019-11-10
81,False,2019-11-17
48,False,2019-11-24
66,False,2019-12-01
73,False,2019-12-08
56,False,2019-12-15
41,False,2019-12-22
81,False,2019-12-29
47,False,2020-01-05
53,False,2020-01-12
79,False,2020-01-19
60,False,2020-01-26
54,False,2020-02-02
85,False,2020-02-09
70,False,2020-02-16
87,False,2020-02-23
81,False,2020-03-01
76,False,2020-03-08
70,False,2020-03-15
64,False,2020-03-22
62,False,2020-03-29
68,False,2020-04-05
69,False,2020-04-12
79,False,2020-04-19
72,False,2020-04-26
65,False,2020-05-03
60,False,2020-05-10
78,False,2020-05-17
83,False,2020-05-24
66,False,2020-05-31
81,False,2020-06-07
63,False,2020-06-14
75,False,2020-06-21
73,False,2020-06-28
84,False,2020-07-05
81,False,2020-07-12
73,False,2020-07-19
65,False,2020-07-26
58,False,2020-08-02
76,False,2020-08-09
59,False,2020-08-16
70,False,2020-08-23
41,True,2020-08-30
