worried,isPartial,date
28,False,2019-08-25
46,False,2019-09-01
27,False,2019-09-08
48,False,2019-09-15
69,False,2019-09-22
47,False,2019-09-29
51,False,2019-10-06
34,False,2019-10-13
40,False,2019-10-20
48,False,2019-10-27
37,False,2019-11-03
27,False,2019-11-10
38,False,2019-11-17
39,False,2019-11-24
55,False,2019-12-01
36,False,2019-12-08
58,False,2019-12-15
40,False,2019-12-22
34,False,2019-12-29
40,False,2020-01-05
46,False,2020-01-12
44,False,2020-01-19
55,False,2020-01-26
54,False,2020-02-02
76,False,2020-02-09
50,False,2020-02-16
75,False,2020-02-23
92,False,2020-03-01
100,False,2020-03-08
57,False,2020-03-15
57,False,2020-03-22
65,False,2020-03-29
59,False,2020-04-05
34,False,2020-04-12
27,False,2020-04-19
50,False,2020-04-26
46,False,2020-05-03
67,False,2020-05-10
51,False,2020-05-17
52,False,2020-05-24
76,False,2020-05-31
40,False,2020-06-07
53,False,2020-06-14
41,False,2020-06-21
31,False,2020-06-28
45,False,2020-07-05
35,False,2020-07-12
26,False,2020-07-19
43,False,2020-07-26
42,False,2020-08-02
43,False,2020-08-09
44,True,2020-08-16
