depressive,isPartial,date
40,False,2019-01-06
38,False,2019-01-13
0,False,2019-01-20
57,False,2019-01-27
37,False,2019-02-03
57,False,2019-02-10
38,False,2019-02-17
75,False,2019-02-24
0,False,2019-03-03
75,False,2019-03-10
56,False,2019-03-17
37,False,2019-03-24
75,False,2019-03-31
37,False,2019-04-07
38,False,2019-04-14
56,False,2019-04-21
74,False,2019-04-28
38,False,2019-05-05
37,False,2019-05-12
0,False,2019-05-19
36,False,2019-05-26
36,False,2019-06-02
35,False,2019-06-09
36,False,2019-06-16
35,False,2019-06-23
35,False,2019-06-30
36,False,2019-07-07
35,False,2019-07-14
37,False,2019-07-21
0,False,2019-07-28
36,False,2019-08-04
34,False,2019-08-11
71,False,2019-08-18
72,False,2019-08-25
59,False,2019-09-01
0,False,2019-09-08
36,False,2019-09-15
35,False,2019-09-22
71,False,2019-09-29
50,False,2019-10-06
48,False,2019-10-13
35,False,2019-10-20
0,False,2019-10-27
73,False,2019-11-03
36,False,2019-11-10
0,False,2019-11-17
60,False,2019-11-24
36,False,2019-12-01
71,False,2019-12-08
35,False,2019-12-15
70,False,2019-12-22
0,False,2019-12-29
34,False,2020-01-05
33,False,2020-01-12
51,False,2020-01-19
34,False,2020-01-26
51,False,2020-02-02
51,False,2020-02-09
100,False,2020-02-16
33,False,2020-02-23
32,False,2020-03-01
52,False,2020-03-08
32,False,2020-03-15
64,False,2020-03-22
0,False,2020-03-29
31,False,2020-04-05
30,False,2020-04-12
29,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
29,False,2020-05-10
0,False,2020-05-17
30,False,2020-05-24
60,False,2020-05-31
30,False,2020-06-07
62,False,2020-06-14
32,False,2020-06-21
62,False,2020-06-28
31,False,2020-07-05
64,False,2020-07-12
32,False,2020-07-19
32,False,2020-07-26
49,False,2020-08-02
32,False,2020-08-09
33,False,2020-08-16
82,False,2020-08-23
65,False,2020-08-30
