depressed -scooby -anime -cartoon -wallpaper -backgrounds -wallpapers -cat -dog -fish -cats -dogs,isPartial,date
61,False,2019-01-06
72,False,2019-01-13
43,False,2019-01-20
96,False,2019-01-27
48,False,2019-02-03
59,False,2019-02-10
57,False,2019-02-17
74,False,2019-02-24
68,False,2019-03-03
81,False,2019-03-10
58,False,2019-03-17
70,False,2019-03-24
75,False,2019-03-31
97,False,2019-04-07
62,False,2019-04-14
86,False,2019-04-21
58,False,2019-04-28
56,False,2019-05-05
63,False,2019-05-12
66,False,2019-05-19
85,False,2019-05-26
64,False,2019-06-02
29,False,2019-06-09
73,False,2019-06-16
43,False,2019-06-23
63,False,2019-06-30
51,False,2019-07-07
72,False,2019-07-14
51,False,2019-07-21
76,False,2019-07-28
42,False,2019-08-04
51,False,2019-08-11
54,False,2019-08-18
65,False,2019-08-25
57,False,2019-09-01
66,False,2019-09-08
70,False,2019-09-15
100,False,2019-09-22
74,False,2019-09-29
76,False,2019-10-06
78,False,2019-10-13
44,False,2019-10-20
100,False,2019-10-27
78,False,2019-11-03
83,False,2019-11-10
64,False,2019-11-17
57,False,2019-11-24
98,False,2019-12-01
50,False,2019-12-08
74,False,2019-12-15
74,False,2019-12-22
65,False,2019-12-29
55,False,2020-01-05
49,False,2020-01-12
69,False,2020-01-19
56,False,2020-01-26
67,False,2020-02-02
58,False,2020-02-09
87,False,2020-02-16
97,False,2020-02-23
70,False,2020-03-01
65,False,2020-03-08
44,False,2020-03-15
43,False,2020-03-22
58,False,2020-03-29
66,False,2020-04-05
54,False,2020-04-12
44,False,2020-04-19
52,False,2020-04-26
66,False,2020-05-03
43,False,2020-05-10
98,False,2020-05-17
64,False,2020-05-24
37,False,2020-05-31
38,False,2020-06-07
71,False,2020-06-14
61,False,2020-06-21
49,False,2020-06-28
85,False,2020-07-05
50,False,2020-07-12
62,False,2020-07-19
64,False,2020-07-26
59,False,2020-08-02
50,False,2020-08-09
65,False,2020-08-16
43,False,2020-08-23
78,False,2020-08-30
