depression,isPartial,date
69,False,2019-01-06
76,False,2019-01-13
81,False,2019-01-20
88,False,2019-01-27
90,False,2019-02-03
85,False,2019-02-10
96,False,2019-02-17
91,False,2019-02-24
95,False,2019-03-03
89,False,2019-03-10
78,False,2019-03-17
94,False,2019-03-24
90,False,2019-03-31
85,False,2019-04-07
96,False,2019-04-14
82,False,2019-04-21
88,False,2019-04-28
93,False,2019-05-05
97,False,2019-05-12
86,False,2019-05-19
80,False,2019-05-26
72,False,2019-06-02
64,False,2019-06-09
56,False,2019-06-16
66,False,2019-06-23
60,False,2019-06-30
56,False,2019-07-07
59,False,2019-07-14
78,False,2019-07-21
70,False,2019-07-28
70,False,2019-08-04
71,False,2019-08-11
77,False,2019-08-18
68,False,2019-08-25
62,False,2019-09-01
72,False,2019-09-08
78,False,2019-09-15
84,False,2019-09-22
76,False,2019-09-29
81,False,2019-10-06
77,False,2019-10-13
83,False,2019-10-20
74,False,2019-10-27
88,False,2019-11-03
77,False,2019-11-10
86,False,2019-11-17
66,False,2019-11-24
75,False,2019-12-01
72,False,2019-12-08
74,False,2019-12-15
46,False,2019-12-22
59,False,2019-12-29
59,False,2020-01-05
74,False,2020-01-12
76,False,2020-01-19
83,False,2020-01-26
85,False,2020-02-02
95,False,2020-02-09
93,False,2020-02-16
84,False,2020-02-23
99,False,2020-03-01
83,False,2020-03-08
85,False,2020-03-15
83,False,2020-03-22
98,False,2020-03-29
100,False,2020-04-05
90,False,2020-04-12
80,False,2020-04-19
90,False,2020-04-26
79,False,2020-05-03
78,False,2020-05-10
82,False,2020-05-17
66,False,2020-05-24
53,False,2020-05-31
55,False,2020-06-07
62,False,2020-06-14
71,False,2020-06-21
62,False,2020-06-28
62,False,2020-07-05
63,False,2020-07-12
67,False,2020-07-19
69,False,2020-07-26
66,False,2020-08-02
70,False,2020-08-09
73,False,2020-08-16
64,False,2020-08-23
77,False,2020-08-30
