sad,isPartial,date
78,False,2019-01-06
86,False,2019-01-13
82,False,2019-01-20
79,False,2019-01-27
81,False,2019-02-03
76,False,2019-02-10
78,False,2019-02-17
85,False,2019-02-24
71,False,2019-03-03
79,False,2019-03-10
75,False,2019-03-17
79,False,2019-03-24
75,False,2019-03-31
77,False,2019-04-07
78,False,2019-04-14
86,False,2019-04-21
86,False,2019-04-28
79,False,2019-05-05
86,False,2019-05-12
78,False,2019-05-19
66,False,2019-05-26
78,False,2019-06-02
74,False,2019-06-09
92,False,2019-06-16
75,False,2019-06-23
63,False,2019-06-30
77,False,2019-07-07
75,False,2019-07-14
90,False,2019-07-21
78,False,2019-07-28
72,False,2019-08-04
69,False,2019-08-11
63,False,2019-08-18
86,False,2019-08-25
76,False,2019-09-01
75,False,2019-09-08
84,False,2019-09-15
75,False,2019-09-22
100,False,2019-09-29
73,False,2019-10-06
75,False,2019-10-13
78,False,2019-10-20
89,False,2019-10-27
86,False,2019-11-03
85,False,2019-11-10
91,False,2019-11-17
68,False,2019-11-24
78,False,2019-12-01
80,False,2019-12-08
83,False,2019-12-15
63,False,2019-12-22
64,False,2019-12-29
85,False,2020-01-05
85,False,2020-01-12
87,False,2020-01-19
81,False,2020-01-26
85,False,2020-02-02
78,False,2020-02-09
72,False,2020-02-16
97,False,2020-02-23
81,False,2020-03-01
88,False,2020-03-08
82,False,2020-03-15
82,False,2020-03-22
94,False,2020-03-29
98,False,2020-04-05
85,False,2020-04-12
90,False,2020-04-19
91,False,2020-04-26
94,False,2020-05-03
75,False,2020-05-10
93,False,2020-05-17
81,False,2020-05-24
73,False,2020-05-31
85,False,2020-06-07
79,False,2020-06-14
90,False,2020-06-21
77,False,2020-06-28
79,False,2020-07-05
96,False,2020-07-12
97,False,2020-07-19
88,False,2020-07-26
94,False,2020-08-02
90,False,2020-08-09
96,False,2020-08-16
98,False,2020-08-23
82,False,2020-08-30
