severe depression,isPartial,date
0,False,2019-01-06
46,False,2019-01-13
46,False,2019-01-20
45,False,2019-01-27
45,False,2019-02-03
67,False,2019-02-10
0,False,2019-02-17
44,False,2019-02-24
46,False,2019-03-03
47,False,2019-03-10
47,False,2019-03-17
46,False,2019-03-24
0,False,2019-03-31
48,False,2019-04-07
48,False,2019-04-14
48,False,2019-04-21
47,False,2019-04-28
96,False,2019-05-05
0,False,2019-05-12
75,False,2019-05-19
51,False,2019-05-26
0,False,2019-06-02
49,False,2019-06-09
51,False,2019-06-16
50,False,2019-06-23
0,False,2019-06-30
49,False,2019-07-07
100,False,2019-07-14
76,False,2019-07-21
50,False,2019-07-28
49,False,2019-08-04
70,False,2019-08-11
47,False,2019-08-18
45,False,2019-08-25
44,False,2019-09-01
44,False,2019-09-08
44,False,2019-09-15
44,False,2019-09-22
45,False,2019-09-29
93,False,2019-10-06
67,False,2019-10-13
0,False,2019-10-20
66,False,2019-10-27
43,False,2019-11-03
43,False,2019-11-10
85,False,2019-11-17
44,False,2019-11-24
0,False,2019-12-01
44,False,2019-12-08
45,False,2019-12-15
47,False,2019-12-22
91,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
41,False,2020-01-19
41,False,2020-01-26
41,False,2020-02-02
41,False,2020-02-09
40,False,2020-02-16
39,False,2020-02-23
39,False,2020-03-01
59,False,2020-03-08
38,False,2020-03-15
0,False,2020-03-22
36,False,2020-03-29
37,False,2020-04-05
0,False,2020-04-12
72,False,2020-04-19
36,False,2020-04-26
73,False,2020-05-03
37,False,2020-05-10
38,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
38,False,2020-06-07
38,False,2020-06-14
39,False,2020-06-21
0,False,2020-06-28
40,False,2020-07-05
41,False,2020-07-12
0,False,2020-07-19
40,False,2020-07-26
57,False,2020-08-02
38,False,2020-08-09
0,False,2020-08-16
37,False,2020-08-23
37,False,2020-08-30
