baby blues -cartoon -dolly -comic -comics -bbq -movie -nashville -lyrics -shark -back -bar -hey,isPartial,date
65,False,2019-01-06
62,False,2019-01-13
53,False,2019-01-20
67,False,2019-01-27
68,False,2019-02-03
72,False,2019-02-10
65,False,2019-02-17
73,False,2019-02-24
54,False,2019-03-03
71,False,2019-03-10
40,False,2019-03-17
78,False,2019-03-24
50,False,2019-03-31
71,False,2019-04-07
78,False,2019-04-14
74,False,2019-04-21
61,False,2019-04-28
98,False,2019-05-05
50,False,2019-05-12
88,False,2019-05-19
78,False,2019-05-26
80,False,2019-06-02
100,False,2019-06-09
44,False,2019-06-16
51,False,2019-06-23
78,False,2019-06-30
57,False,2019-07-07
85,False,2019-07-14
59,False,2019-07-21
53,False,2019-07-28
71,False,2019-08-04
58,False,2019-08-11
54,False,2019-08-18
49,False,2019-08-25
65,False,2019-09-01
46,False,2019-09-08
59,False,2019-09-15
70,False,2019-09-22
70,False,2019-09-29
58,False,2019-10-06
83,False,2019-10-13
62,False,2019-10-20
62,False,2019-10-27
47,False,2019-11-03
51,False,2019-11-10
63,False,2019-11-17
67,False,2019-11-24
57,False,2019-12-01
66,False,2019-12-08
60,False,2019-12-15
43,False,2019-12-22
60,False,2019-12-29
63,False,2020-01-05
72,False,2020-01-12
67,False,2020-01-19
62,False,2020-01-26
76,False,2020-02-02
42,False,2020-02-09
55,False,2020-02-16
78,False,2020-02-23
41,False,2020-03-01
52,False,2020-03-08
41,False,2020-03-15
45,False,2020-03-22
39,False,2020-03-29
50,False,2020-04-05
66,False,2020-04-12
48,False,2020-04-19
39,False,2020-04-26
59,False,2020-05-03
61,False,2020-05-10
39,False,2020-05-17
63,False,2020-05-24
55,False,2020-05-31
67,False,2020-06-07
77,False,2020-06-14
57,False,2020-06-21
60,False,2020-06-28
64,False,2020-07-05
54,False,2020-07-12
70,False,2020-07-19
71,False,2020-07-26
67,False,2020-08-02
64,False,2020-08-09
67,False,2020-08-16
40,False,2020-08-23
58,False,2020-08-30
