depressed,isPartial,date
89,False,2019-01-06
93,False,2019-01-13
91,False,2019-01-20
95,False,2019-01-27
98,False,2019-02-03
92,False,2019-02-10
99,False,2019-02-17
93,False,2019-02-24
92,False,2019-03-03
95,False,2019-03-10
94,False,2019-03-17
94,False,2019-03-24
89,False,2019-03-31
91,False,2019-04-07
93,False,2019-04-14
88,False,2019-04-21
88,False,2019-04-28
85,False,2019-05-05
92,False,2019-05-12
94,False,2019-05-19
82,False,2019-05-26
83,False,2019-06-02
83,False,2019-06-09
85,False,2019-06-16
80,False,2019-06-23
83,False,2019-06-30
80,False,2019-07-07
84,False,2019-07-14
81,False,2019-07-21
86,False,2019-07-28
77,False,2019-08-04
79,False,2019-08-11
83,False,2019-08-18
78,False,2019-08-25
78,False,2019-09-01
90,False,2019-09-08
88,False,2019-09-15
95,False,2019-09-22
94,False,2019-09-29
94,False,2019-10-06
92,False,2019-10-13
96,False,2019-10-20
94,False,2019-10-27
99,False,2019-11-03
93,False,2019-11-10
100,False,2019-11-17
82,False,2019-11-24
97,False,2019-12-01
94,False,2019-12-08
87,False,2019-12-15
80,False,2019-12-22
90,False,2019-12-29
87,False,2020-01-05
92,False,2020-01-12
93,False,2020-01-19
91,False,2020-01-26
88,False,2020-02-02
95,False,2020-02-09
95,False,2020-02-16
95,False,2020-02-23
94,False,2020-03-01
81,False,2020-03-08
72,False,2020-03-15
75,False,2020-03-22
81,False,2020-03-29
82,False,2020-04-05
89,False,2020-04-12
90,False,2020-04-19
92,False,2020-04-26
95,False,2020-05-03
89,False,2020-05-10
88,False,2020-05-17
84,False,2020-05-24
77,False,2020-05-31
85,False,2020-06-07
92,False,2020-06-14
93,False,2020-06-21
87,False,2020-06-28
93,False,2020-07-05
88,False,2020-07-12
93,False,2020-07-19
94,False,2020-07-26
88,False,2020-08-02
91,False,2020-08-09
90,False,2020-08-16
87,False,2020-08-23
87,False,2020-08-30
