depression and anxiety,isPartial,date
83,False,2019-01-06
92,False,2019-01-13
88,False,2019-01-20
85,False,2019-01-27
88,False,2019-02-03
96,False,2019-02-10
85,False,2019-02-17
88,False,2019-02-24
92,False,2019-03-03
91,False,2019-03-10
94,False,2019-03-17
84,False,2019-03-24
93,False,2019-03-31
82,False,2019-04-07
90,False,2019-04-14
94,False,2019-04-21
99,False,2019-04-28
83,False,2019-05-05
84,False,2019-05-12
77,False,2019-05-19
79,False,2019-05-26
77,False,2019-06-02
68,False,2019-06-09
72,False,2019-06-16
72,False,2019-06-23
59,False,2019-06-30
75,False,2019-07-07
82,False,2019-07-14
81,False,2019-07-21
87,False,2019-07-28
82,False,2019-08-04
80,False,2019-08-11
77,False,2019-08-18
75,False,2019-08-25
79,False,2019-09-01
79,False,2019-09-08
82,False,2019-09-15
92,False,2019-09-22
86,False,2019-09-29
93,False,2019-10-06
87,False,2019-10-13
95,False,2019-10-20
81,False,2019-10-27
92,False,2019-11-03
82,False,2019-11-10
91,False,2019-11-17
80,False,2019-11-24
100,False,2019-12-01
85,False,2019-12-08
81,False,2019-12-15
64,False,2019-12-22
73,False,2019-12-29
85,False,2020-01-05
88,False,2020-01-12
83,False,2020-01-19
97,False,2020-01-26
98,False,2020-02-02
88,False,2020-02-09
92,False,2020-02-16
88,False,2020-02-23
90,False,2020-03-01
77,False,2020-03-08
55,False,2020-03-15
56,False,2020-03-22
59,False,2020-03-29
63,False,2020-04-05
79,False,2020-04-12
77,False,2020-04-19
81,False,2020-04-26
77,False,2020-05-03
78,False,2020-05-10
69,False,2020-05-17
67,False,2020-05-24
66,False,2020-05-31
72,False,2020-06-07
80,False,2020-06-14
83,False,2020-06-21
79,False,2020-06-28
82,False,2020-07-05
80,False,2020-07-12
73,False,2020-07-19
81,False,2020-07-26
79,False,2020-08-02
70,False,2020-08-09
76,False,2020-08-16
77,False,2020-08-23
83,False,2020-08-30
