depressive,isPartial,date
65,False,2019-09-08
66,False,2019-09-15
66,False,2019-09-22
77,False,2019-09-29
79,False,2019-10-06
85,False,2019-10-13
84,False,2019-10-20
78,False,2019-10-27
79,False,2019-11-03
74,False,2019-11-10
90,False,2019-11-17
70,False,2019-11-24
100,False,2019-12-01
77,False,2019-12-08
65,False,2019-12-15
43,False,2019-12-22
52,False,2019-12-29
58,False,2020-01-05
64,False,2020-01-12
71,False,2020-01-19
76,False,2020-01-26
69,False,2020-02-02
77,False,2020-02-09
82,False,2020-02-16
90,False,2020-02-23
83,False,2020-03-01
75,False,2020-03-08
60,False,2020-03-15
60,False,2020-03-22
64,False,2020-03-29
71,False,2020-04-05
74,False,2020-04-12
80,False,2020-04-19
82,False,2020-04-26
79,False,2020-05-03
71,False,2020-05-10
74,False,2020-05-17
60,False,2020-05-24
56,False,2020-05-31
63,False,2020-06-07
67,False,2020-06-14
68,False,2020-06-21
68,False,2020-06-28
66,False,2020-07-05
68,False,2020-07-12
72,False,2020-07-19
77,False,2020-07-26
66,False,2020-08-02
76,False,2020-08-09
62,False,2020-08-16
57,False,2020-08-23
42,True,2020-08-30
