how to deal with depression -economic -great -recession,isPartial,date
91,False,2019-01-06
53,False,2019-01-13
83,False,2019-01-20
77,False,2019-01-27
75,False,2019-02-03
65,False,2019-02-10
63,False,2019-02-17
78,False,2019-02-24
77,False,2019-03-03
67,False,2019-03-10
70,False,2019-03-17
72,False,2019-03-24
63,False,2019-03-31
76,False,2019-04-07
73,False,2019-04-14
78,False,2019-04-21
57,False,2019-04-28
53,False,2019-05-05
94,False,2019-05-12
69,False,2019-05-19
55,False,2019-05-26
82,False,2019-06-02
37,False,2019-06-09
66,False,2019-06-16
66,False,2019-06-23
50,False,2019-06-30
70,False,2019-07-07
60,False,2019-07-14
63,False,2019-07-21
57,False,2019-07-28
50,False,2019-08-04
62,False,2019-08-11
45,False,2019-08-18
83,False,2019-08-25
56,False,2019-09-01
74,False,2019-09-08
60,False,2019-09-15
67,False,2019-09-22
73,False,2019-09-29
83,False,2019-10-06
73,False,2019-10-13
73,False,2019-10-20
63,False,2019-10-27
65,False,2019-11-03
57,False,2019-11-10
58,False,2019-11-17
65,False,2019-11-24
79,False,2019-12-01
100,False,2019-12-08
67,False,2019-12-15
35,False,2019-12-22
76,False,2019-12-29
63,False,2020-01-05
63,False,2020-01-12
70,False,2020-01-19
60,False,2020-01-26
73,False,2020-02-02
70,False,2020-02-09
75,False,2020-02-16
73,False,2020-02-23
58,False,2020-03-01
63,False,2020-03-08
37,False,2020-03-15
51,False,2020-03-22
50,False,2020-03-29
65,False,2020-04-05
59,False,2020-04-12
68,False,2020-04-19
64,False,2020-04-26
54,False,2020-05-03
73,False,2020-05-10
60,False,2020-05-17
66,False,2020-05-24
70,False,2020-05-31
50,False,2020-06-07
57,False,2020-06-14
62,False,2020-06-21
49,False,2020-06-28
65,False,2020-07-05
68,False,2020-07-12
63,False,2020-07-19
72,False,2020-07-26
72,False,2020-08-02
64,False,2020-08-09
59,False,2020-08-16
43,False,2020-08-23
62,False,2020-08-30
