postnatal depression,isPartial,date
56,False,2019-01-06
55,False,2019-01-13
73,False,2019-01-20
41,False,2019-01-27
57,False,2019-02-03
81,False,2019-02-10
45,False,2019-02-17
49,False,2019-02-24
32,False,2019-03-03
41,False,2019-03-10
52,False,2019-03-17
47,False,2019-03-24
46,False,2019-03-31
28,False,2019-04-07
87,False,2019-04-14
48,False,2019-04-21
56,False,2019-04-28
70,False,2019-05-05
67,False,2019-05-12
43,False,2019-05-19
20,False,2019-05-26
33,False,2019-06-02
36,False,2019-06-09
34,False,2019-06-16
64,False,2019-06-23
20,False,2019-06-30
53,False,2019-07-07
67,False,2019-07-14
84,False,2019-07-21
69,False,2019-07-28
68,False,2019-08-04
42,False,2019-08-11
37,False,2019-08-18
20,False,2019-08-25
31,False,2019-09-01
48,False,2019-09-08
56,False,2019-09-15
57,False,2019-09-22
84,False,2019-09-29
75,False,2019-10-06
35,False,2019-10-13
86,False,2019-10-20
73,False,2019-10-27
43,False,2019-11-03
51,False,2019-11-10
68,False,2019-11-17
22,False,2019-11-24
42,False,2019-12-01
73,False,2019-12-08
44,False,2019-12-15
59,False,2019-12-22
82,False,2019-12-29
51,False,2020-01-05
32,False,2020-01-12
55,False,2020-01-19
62,False,2020-01-26
41,False,2020-02-02
58,False,2020-02-09
53,False,2020-02-16
63,False,2020-02-23
44,False,2020-03-01
55,False,2020-03-08
58,False,2020-03-15
49,False,2020-03-22
29,False,2020-03-29
75,False,2020-04-05
40,False,2020-04-12
50,False,2020-04-19
83,False,2020-04-26
51,False,2020-05-03
49,False,2020-05-10
41,False,2020-05-17
23,False,2020-05-24
63,False,2020-05-31
38,False,2020-06-07
39,False,2020-06-14
76,False,2020-06-21
73,False,2020-06-28
69,False,2020-07-05
61,False,2020-07-12
70,False,2020-07-19
100,False,2020-07-26
58,False,2020-08-02
49,False,2020-08-09
28,False,2020-08-16
55,False,2020-08-23
54,False,2020-08-30
