postnatal depression + post natal depression,isPartial,date
28,False,2019-01-06
26,False,2019-01-13
25,False,2019-01-20
22,False,2019-01-27
27,False,2019-02-03
27,False,2019-02-10
15,False,2019-02-17
27,False,2019-02-24
23,False,2019-03-03
15,False,2019-03-10
26,False,2019-03-17
26,False,2019-03-24
28,False,2019-03-31
20,False,2019-04-07
34,False,2019-04-14
18,False,2019-04-21
41,False,2019-04-28
26,False,2019-05-05
34,False,2019-05-12
34,False,2019-05-19
8,False,2019-05-26
13,False,2019-06-02
35,False,2019-06-09
21,False,2019-06-16
27,False,2019-06-23
27,False,2019-06-30
29,False,2019-07-07
37,False,2019-07-14
43,False,2019-07-21
62,False,2019-07-28
34,False,2019-08-04
31,False,2019-08-11
26,False,2019-08-18
22,False,2019-08-25
24,False,2019-09-01
31,False,2019-09-08
28,False,2019-09-15
24,False,2019-09-22
48,False,2019-09-29
31,False,2019-10-06
24,False,2019-10-13
57,False,2019-10-20
36,False,2019-10-27
36,False,2019-11-03
30,False,2019-11-10
31,False,2019-11-17
39,False,2019-11-24
27,False,2019-12-01
42,False,2019-12-08
29,False,2019-12-15
32,False,2019-12-22
37,False,2019-12-29
23,False,2020-01-05
33,False,2020-01-12
35,False,2020-01-19
25,False,2020-01-26
38,False,2020-02-02
25,False,2020-02-09
25,False,2020-02-16
33,False,2020-02-23
26,False,2020-03-01
19,False,2020-03-08
21,False,2020-03-15
29,False,2020-03-22
26,False,2020-03-29
37,False,2020-04-05
26,False,2020-04-12
26,False,2020-04-19
50,False,2020-04-26
36,False,2020-05-03
25,False,2020-05-10
47,False,2020-05-17
19,False,2020-05-24
41,False,2020-05-31
40,False,2020-06-07
30,False,2020-06-14
48,False,2020-06-21
31,False,2020-06-28
31,False,2020-07-05
38,False,2020-07-12
41,False,2020-07-19
100,False,2020-07-26
34,False,2020-08-02
45,False,2020-08-09
24,False,2020-08-16
36,False,2020-08-23
23,False,2020-08-30
