postpartum depression,isPartial,date
72,False,2019-01-06
55,False,2019-01-13
54,False,2019-01-20
55,False,2019-01-27
54,False,2019-02-03
56,False,2019-02-10
60,False,2019-02-17
58,False,2019-02-24
58,False,2019-03-03
54,False,2019-03-10
100,False,2019-03-17
59,False,2019-03-24
55,False,2019-03-31
50,False,2019-04-07
54,False,2019-04-14
49,False,2019-04-21
60,False,2019-04-28
65,False,2019-05-05
63,False,2019-05-12
51,False,2019-05-19
49,False,2019-05-26
54,False,2019-06-02
50,False,2019-06-09
44,False,2019-06-16
59,False,2019-06-23
46,False,2019-06-30
49,False,2019-07-07
51,False,2019-07-14
49,False,2019-07-21
53,False,2019-07-28
52,False,2019-08-04
51,False,2019-08-11
46,False,2019-08-18
45,False,2019-08-25
46,False,2019-09-01
56,False,2019-09-08
55,False,2019-09-15
52,False,2019-09-22
53,False,2019-09-29
59,False,2019-10-06
53,False,2019-10-13
56,False,2019-10-20
52,False,2019-10-27
61,False,2019-11-03
50,False,2019-11-10
57,False,2019-11-17
48,False,2019-11-24
59,False,2019-12-01
49,False,2019-12-08
44,False,2019-12-15
36,False,2019-12-22
46,False,2019-12-29
46,False,2020-01-05
53,False,2020-01-12
58,False,2020-01-19
56,False,2020-01-26
48,False,2020-02-02
52,False,2020-02-09
51,False,2020-02-16
47,False,2020-02-23
46,False,2020-03-01
46,False,2020-03-08
31,False,2020-03-15
36,False,2020-03-22
34,False,2020-03-29
40,False,2020-04-05
45,False,2020-04-12
36,False,2020-04-19
47,False,2020-04-26
47,False,2020-05-03
45,False,2020-05-10
42,False,2020-05-17
40,False,2020-05-24
42,False,2020-05-31
46,False,2020-06-07
54,False,2020-06-14
51,False,2020-06-21
51,False,2020-06-28
47,False,2020-07-05
41,False,2020-07-12
53,False,2020-07-19
48,False,2020-07-26
47,False,2020-08-02
42,False,2020-08-09
41,False,2020-08-16
38,False,2020-08-23
45,False,2020-08-30
