sad,isPartial,date
79,False,2019-09-08
77,False,2019-09-15
81,False,2019-09-22
81,False,2019-09-29
83,False,2019-10-06
82,False,2019-10-13
85,False,2019-10-20
85,False,2019-10-27
87,False,2019-11-03
85,False,2019-11-10
88,False,2019-11-17
76,False,2019-11-24
83,False,2019-12-01
88,False,2019-12-08
82,False,2019-12-15
77,False,2019-12-22
73,False,2019-12-29
82,False,2020-01-05
94,False,2020-01-12
93,False,2020-01-19
97,False,2020-01-26
90,False,2020-02-02
95,False,2020-02-09
91,False,2020-02-16
93,False,2020-02-23
92,False,2020-03-01
90,False,2020-03-08
90,False,2020-03-15
93,False,2020-03-22
95,False,2020-03-29
100,False,2020-04-05
95,False,2020-04-12
97,False,2020-04-19
93,False,2020-04-26
89,False,2020-05-03
88,False,2020-05-10
89,False,2020-05-17
88,False,2020-05-24
79,False,2020-05-31
80,False,2020-06-07
81,False,2020-06-14
82,False,2020-06-21
81,False,2020-06-28
79,False,2020-07-05
83,False,2020-07-12
82,False,2020-07-19
84,False,2020-07-26
82,False,2020-08-02
86,False,2020-08-09
86,False,2020-08-16
87,False,2020-08-23
82,True,2020-08-30
