tearful,isPartial,date
33,False,2019-09-08
39,False,2019-09-15
47,False,2019-09-22
53,False,2019-09-29
30,False,2019-10-06
40,False,2019-10-13
29,False,2019-10-20
40,False,2019-10-27
65,False,2019-11-03
34,False,2019-11-10
33,False,2019-11-17
36,False,2019-11-24
29,False,2019-12-01
42,False,2019-12-08
27,False,2019-12-15
26,False,2019-12-22
34,False,2019-12-29
19,False,2020-01-05
43,False,2020-01-12
35,False,2020-01-19
100,False,2020-01-26
31,False,2020-02-02
50,False,2020-02-09
43,False,2020-02-16
42,False,2020-02-23
39,False,2020-03-01
42,False,2020-03-08
50,False,2020-03-15
20,False,2020-03-22
56,False,2020-03-29
40,False,2020-04-05
47,False,2020-04-12
46,False,2020-04-19
33,False,2020-04-26
86,False,2020-05-03
40,False,2020-05-10
63,False,2020-05-17
50,False,2020-05-24
45,False,2020-05-31
35,False,2020-06-07
42,False,2020-06-14
33,False,2020-06-21
42,False,2020-06-28
62,False,2020-07-05
28,False,2020-07-12
28,False,2020-07-19
41,False,2020-07-26
44,False,2020-08-02
37,False,2020-08-09
40,False,2020-08-16
53,False,2020-08-23
0,True,2020-08-30
