what is depression,isPartial,date
60,False,2019-01-06
65,False,2019-01-13
62,False,2019-01-20
65,False,2019-01-27
74,False,2019-02-03
72,False,2019-02-10
69,False,2019-02-17
73,False,2019-02-24
75,False,2019-03-03
71,False,2019-03-10
80,False,2019-03-17
74,False,2019-03-24
64,False,2019-03-31
75,False,2019-04-07
73,False,2019-04-14
72,False,2019-04-21
74,False,2019-04-28
66,False,2019-05-05
67,False,2019-05-12
62,False,2019-05-19
51,False,2019-05-26
53,False,2019-06-02
43,False,2019-06-09
40,False,2019-06-16
41,False,2019-06-23
36,False,2019-06-30
39,False,2019-07-07
39,False,2019-07-14
40,False,2019-07-21
37,False,2019-07-28
36,False,2019-08-04
36,False,2019-08-11
37,False,2019-08-18
43,False,2019-08-25
45,False,2019-09-01
55,False,2019-09-08
59,False,2019-09-15
59,False,2019-09-22
63,False,2019-09-29
67,False,2019-10-06
69,False,2019-10-13
70,False,2019-10-20
65,False,2019-10-27
71,False,2019-11-03
74,False,2019-11-10
76,False,2019-11-17
46,False,2019-11-24
73,False,2019-12-01
74,False,2019-12-08
64,False,2019-12-15
32,False,2019-12-22
40,False,2019-12-29
57,False,2020-01-05
66,False,2020-01-12
67,False,2020-01-19
75,False,2020-01-26
76,False,2020-02-02
79,False,2020-02-09
74,False,2020-02-16
82,False,2020-02-23
85,False,2020-03-01
74,False,2020-03-08
81,False,2020-03-15
85,False,2020-03-22
94,False,2020-03-29
86,False,2020-04-05
89,False,2020-04-12
96,False,2020-04-19
100,False,2020-04-26
91,False,2020-05-03
83,False,2020-05-10
66,False,2020-05-17
61,False,2020-05-24
49,False,2020-05-31
53,False,2020-06-07
52,False,2020-06-14
50,False,2020-06-21
44,False,2020-06-28
45,False,2020-07-05
49,False,2020-07-12
54,False,2020-07-19
48,False,2020-07-26
47,False,2020-08-02
42,False,2020-08-09
51,False,2020-08-16
52,False,2020-08-23
56,False,2020-08-30
