baby blues,isPartial,date
21,False,2019-01-06
41,False,2019-01-13
40,False,2019-01-20
21,False,2019-01-27
30,False,2019-02-03
30,False,2019-02-10
50,False,2019-02-17
39,False,2019-02-24
39,False,2019-03-03
39,False,2019-03-10
100,False,2019-03-17
50,False,2019-03-24
50,False,2019-03-31
42,False,2019-04-07
0,False,2019-04-14
43,False,2019-04-21
65,False,2019-04-28
55,False,2019-05-05
45,False,2019-05-12
45,False,2019-05-19
34,False,2019-05-26
55,False,2019-06-02
44,False,2019-06-09
44,False,2019-06-16
22,False,2019-06-23
22,False,2019-06-30
32,False,2019-07-07
0,False,2019-07-14
32,False,2019-07-21
65,False,2019-07-28
21,False,2019-08-04
64,False,2019-08-11
21,False,2019-08-18
39,False,2019-08-25
58,False,2019-09-01
30,False,2019-09-08
60,False,2019-09-15
71,False,2019-09-22
40,False,2019-09-29
50,False,2019-10-06
30,False,2019-10-13
29,False,2019-10-20
49,False,2019-10-27
39,False,2019-11-03
48,False,2019-11-10
49,False,2019-11-17
50,False,2019-11-24
48,False,2019-12-01
58,False,2019-12-08
19,False,2019-12-15
40,False,2019-12-22
48,False,2019-12-29
27,False,2020-01-05
61,False,2020-01-12
36,False,2020-01-19
35,False,2020-01-26
71,False,2020-02-02
27,False,2020-02-09
61,False,2020-02-16
60,False,2020-02-23
52,False,2020-03-01
68,False,2020-03-08
34,False,2020-03-15
51,False,2020-03-22
65,False,2020-03-29
41,False,2020-04-05
16,False,2020-04-12
32,False,2020-04-19
41,False,2020-04-26
17,False,2020-05-03
33,False,2020-05-10
58,False,2020-05-17
17,False,2020-05-24
50,False,2020-05-31
50,False,2020-06-07
17,False,2020-06-14
27,False,2020-06-21
45,False,2020-06-28
18,False,2020-07-05
37,False,2020-07-12
18,False,2020-07-19
37,False,2020-07-26
28,False,2020-08-02
28,False,2020-08-09
56,False,2020-08-16
36,False,2020-08-23
26,False,2020-08-30
