depressed,isPartial,date
87,False,2019-09-08
82,False,2019-09-15
88,False,2019-09-22
91,False,2019-09-29
94,False,2019-10-06
96,False,2019-10-13
72,False,2019-10-20
98,False,2019-10-27
100,False,2019-11-03
77,False,2019-11-10
97,False,2019-11-17
79,False,2019-11-24
88,False,2019-12-01
75,False,2019-12-08
82,False,2019-12-15
62,False,2019-12-22
79,False,2019-12-29
80,False,2020-01-05
74,False,2020-01-12
67,False,2020-01-19
78,False,2020-01-26
77,False,2020-02-02
74,False,2020-02-09
97,False,2020-02-16
89,False,2020-02-23
77,False,2020-03-01
85,False,2020-03-08
60,False,2020-03-15
66,False,2020-03-22
79,False,2020-03-29
83,False,2020-04-05
96,False,2020-04-12
89,False,2020-04-19
92,False,2020-04-26
82,False,2020-05-03
82,False,2020-05-10
89,False,2020-05-17
88,False,2020-05-24
87,False,2020-05-31
88,False,2020-06-07
99,False,2020-06-14
88,False,2020-06-21
89,False,2020-06-28
91,False,2020-07-05
95,False,2020-07-12
86,False,2020-07-19
77,False,2020-07-26
93,False,2020-08-02
89,False,2020-08-09
70,False,2020-08-16
92,False,2020-08-23
72,True,2020-08-30
