depression and anxiety,isPartial,date
52,False,2019-01-06
54,False,2019-01-13
53,False,2019-01-20
60,False,2019-01-27
69,False,2019-02-03
66,False,2019-02-10
81,False,2019-02-17
64,False,2019-02-24
50,False,2019-03-03
77,False,2019-03-10
84,False,2019-03-17
76,False,2019-03-24
73,False,2019-03-31
51,False,2019-04-07
65,False,2019-04-14
77,False,2019-04-21
91,False,2019-04-28
59,False,2019-05-05
57,False,2019-05-12
60,False,2019-05-19
80,False,2019-05-26
50,False,2019-06-02
53,False,2019-06-09
39,False,2019-06-16
76,False,2019-06-23
60,False,2019-06-30
46,False,2019-07-07
65,False,2019-07-14
68,False,2019-07-21
66,False,2019-07-28
44,False,2019-08-04
59,False,2019-08-11
69,False,2019-08-18
45,False,2019-08-25
59,False,2019-09-01
68,False,2019-09-08
77,False,2019-09-15
70,False,2019-09-22
71,False,2019-09-29
79,False,2019-10-06
100,False,2019-10-13
67,False,2019-10-20
75,False,2019-10-27
61,False,2019-11-03
54,False,2019-11-10
65,False,2019-11-17
59,False,2019-11-24
53,False,2019-12-01
54,False,2019-12-08
72,False,2019-12-15
59,False,2019-12-22
41,False,2019-12-29
42,False,2020-01-05
65,False,2020-01-12
72,False,2020-01-19
72,False,2020-01-26
43,False,2020-02-02
74,False,2020-02-09
77,False,2020-02-16
54,False,2020-02-23
65,False,2020-03-01
49,False,2020-03-08
50,False,2020-03-15
37,False,2020-03-22
50,False,2020-03-29
50,False,2020-04-05
61,False,2020-04-12
59,False,2020-04-19
90,False,2020-04-26
54,False,2020-05-03
61,False,2020-05-10
63,False,2020-05-17
81,False,2020-05-24
46,False,2020-05-31
47,False,2020-06-07
59,False,2020-06-14
70,False,2020-06-21
39,False,2020-06-28
83,False,2020-07-05
54,False,2020-07-12
70,False,2020-07-19
35,False,2020-07-26
63,False,2020-08-02
42,False,2020-08-09
64,False,2020-08-16
77,False,2020-08-23
49,False,2020-08-30
