depressive,isPartial,date
52,False,2019-09-08
35,False,2019-09-15
38,False,2019-09-22
58,False,2019-09-29
40,False,2019-10-06
63,False,2019-10-13
57,False,2019-10-20
74,False,2019-10-27
61,False,2019-11-03
36,False,2019-11-10
68,False,2019-11-17
41,False,2019-11-24
63,False,2019-12-01
59,False,2019-12-08
53,False,2019-12-15
26,False,2019-12-22
30,False,2019-12-29
50,False,2020-01-05
41,False,2020-01-12
45,False,2020-01-19
56,False,2020-01-26
61,False,2020-02-02
59,False,2020-02-09
65,False,2020-02-16
64,False,2020-02-23
62,False,2020-03-01
66,False,2020-03-08
47,False,2020-03-15
84,False,2020-03-22
45,False,2020-03-29
55,False,2020-04-05
69,False,2020-04-12
72,False,2020-04-19
59,False,2020-04-26
50,False,2020-05-03
43,False,2020-05-10
55,False,2020-05-17
39,False,2020-05-24
36,False,2020-05-31
61,False,2020-06-07
65,False,2020-06-14
46,False,2020-06-21
52,False,2020-06-28
58,False,2020-07-05
56,False,2020-07-12
75,False,2020-07-19
85,False,2020-07-26
80,False,2020-08-02
51,False,2020-08-09
70,False,2020-08-16
28,False,2020-08-23
100,True,2020-08-30
