feeling down,isPartial,date
73,False,2019-01-06
60,False,2019-01-13
70,False,2019-01-20
60,False,2019-01-27
83,False,2019-02-03
71,False,2019-02-10
70,False,2019-02-17
68,False,2019-02-24
46,False,2019-03-03
40,False,2019-03-10
29,False,2019-03-17
100,False,2019-03-24
64,False,2019-03-31
56,False,2019-04-07
50,False,2019-04-14
63,False,2019-04-21
58,False,2019-04-28
91,False,2019-05-05
85,False,2019-05-12
46,False,2019-05-19
79,False,2019-05-26
87,False,2019-06-02
65,False,2019-06-09
97,False,2019-06-16
58,False,2019-06-23
72,False,2019-06-30
50,False,2019-07-07
81,False,2019-07-14
66,False,2019-07-21
57,False,2019-07-28
44,False,2019-08-04
56,False,2019-08-11
83,False,2019-08-18
46,False,2019-08-25
40,False,2019-09-01
58,False,2019-09-08
41,False,2019-09-15
78,False,2019-09-22
82,False,2019-09-29
70,False,2019-10-06
81,False,2019-10-13
34,False,2019-10-20
29,False,2019-10-27
56,False,2019-11-03
73,False,2019-11-10
52,False,2019-11-17
71,False,2019-11-24
56,False,2019-12-01
34,False,2019-12-08
68,False,2019-12-15
65,False,2019-12-22
56,False,2019-12-29
48,False,2020-01-05
46,False,2020-01-12
75,False,2020-01-19
52,False,2020-01-26
36,False,2020-02-02
52,False,2020-02-09
51,False,2020-02-16
60,False,2020-02-23
55,False,2020-03-01
45,False,2020-03-08
60,False,2020-03-15
45,False,2020-03-22
57,False,2020-03-29
72,False,2020-04-05
66,False,2020-04-12
89,False,2020-04-19
53,False,2020-04-26
62,False,2020-05-03
58,False,2020-05-10
44,False,2020-05-17
49,False,2020-05-24
53,False,2020-05-31
54,False,2020-06-07
76,False,2020-06-14
57,False,2020-06-21
68,False,2020-06-28
53,False,2020-07-05
49,False,2020-07-12
65,False,2020-07-19
81,False,2020-07-26
70,False,2020-08-02
65,False,2020-08-09
49,False,2020-08-16
42,False,2020-08-23
62,False,2020-08-30
