signs of depression,isPartial,date
29,False,2019-01-06
52,False,2019-01-13
42,False,2019-01-20
47,False,2019-01-27
80,False,2019-02-03
56,False,2019-02-10
55,False,2019-02-17
47,False,2019-02-24
74,False,2019-03-03
99,False,2019-03-10
56,False,2019-03-17
74,False,2019-03-24
83,False,2019-03-31
54,False,2019-04-07
49,False,2019-04-14
100,False,2019-04-21
56,False,2019-04-28
31,False,2019-05-05
47,False,2019-05-12
55,False,2019-05-19
68,False,2019-05-26
56,False,2019-06-02
41,False,2019-06-09
66,False,2019-06-16
71,False,2019-06-23
52,False,2019-06-30
64,False,2019-07-07
44,False,2019-07-14
80,False,2019-07-21
98,False,2019-07-28
60,False,2019-08-04
54,False,2019-08-11
63,False,2019-08-18
50,False,2019-08-25
45,False,2019-09-01
55,False,2019-09-08
46,False,2019-09-15
42,False,2019-09-22
46,False,2019-09-29
55,False,2019-10-06
50,False,2019-10-13
77,False,2019-10-20
59,False,2019-10-27
58,False,2019-11-03
76,False,2019-11-10
45,False,2019-11-17
23,False,2019-11-24
40,False,2019-12-01
59,False,2019-12-08
67,False,2019-12-15
56,False,2019-12-22
49,False,2019-12-29
55,False,2020-01-05
57,False,2020-01-12
42,False,2020-01-19
41,False,2020-01-26
69,False,2020-02-02
53,False,2020-02-09
56,False,2020-02-16
48,False,2020-02-23
51,False,2020-03-01
43,False,2020-03-08
28,False,2020-03-15
55,False,2020-03-22
68,False,2020-03-29
61,False,2020-04-05
63,False,2020-04-12
52,False,2020-04-19
64,False,2020-04-26
60,False,2020-05-03
42,False,2020-05-10
54,False,2020-05-17
39,False,2020-05-24
34,False,2020-05-31
62,False,2020-06-07
44,False,2020-06-14
33,False,2020-06-21
70,False,2020-06-28
50,False,2020-07-05
38,False,2020-07-12
51,False,2020-07-19
43,False,2020-07-26
90,False,2020-08-02
56,False,2020-08-09
39,False,2020-08-16
62,False,2020-08-23
49,False,2020-08-30
