depressive,isPartial,date
0,False,2019-09-08
27,False,2019-09-15
68,False,2019-09-22
27,False,2019-09-29
27,False,2019-10-06
27,False,2019-10-13
27,False,2019-10-20
27,False,2019-10-27
27,False,2019-11-03
40,False,2019-11-10
79,False,2019-11-17
28,False,2019-11-24
53,False,2019-12-01
27,False,2019-12-08
28,False,2019-12-15
46,False,2019-12-22
29,False,2019-12-29
26,False,2020-01-05
25,False,2020-01-12
26,False,2020-01-19
38,False,2020-01-26
64,False,2020-02-02
26,False,2020-02-09
51,False,2020-02-16
48,False,2020-02-23
25,False,2020-03-01
25,False,2020-03-08
100,False,2020-03-15
24,False,2020-03-22
23,False,2020-03-29
23,False,2020-04-05
43,False,2020-04-12
22,False,2020-04-19
23,False,2020-04-26
22,False,2020-05-03
0,False,2020-05-10
24,False,2020-05-17
0,False,2020-05-24
25,False,2020-05-31
37,False,2020-06-07
51,False,2020-06-14
26,False,2020-06-21
27,False,2020-06-28
25,False,2020-07-05
26,False,2020-07-12
0,False,2020-07-19
41,False,2020-07-26
27,False,2020-08-02
54,False,2020-08-09
27,False,2020-08-16
26,False,2020-08-23
0,True,2020-08-30
