postpartum depression,isPartial,date
0,False,2019-01-06
51,False,2019-01-13
67,False,2019-01-20
34,False,2019-01-27
33,False,2019-02-03
33,False,2019-02-10
100,False,2019-02-17
0,False,2019-02-24
51,False,2019-03-03
57,False,2019-03-10
92,False,2019-03-17
34,False,2019-03-24
69,False,2019-03-31
35,False,2019-04-07
36,False,2019-04-14
36,False,2019-04-21
35,False,2019-04-28
35,False,2019-05-05
54,False,2019-05-12
36,False,2019-05-19
77,False,2019-05-26
77,False,2019-06-02
38,False,2019-06-09
38,False,2019-06-16
38,False,2019-06-23
60,False,2019-06-30
57,False,2019-07-07
0,False,2019-07-14
39,False,2019-07-21
0,False,2019-07-28
39,False,2019-08-04
49,False,2019-08-11
69,False,2019-08-18
33,False,2019-08-25
0,False,2019-09-01
33,False,2019-09-08
49,False,2019-09-15
99,False,2019-09-22
49,False,2019-09-29
34,False,2019-10-06
56,False,2019-10-13
33,False,2019-10-20
98,False,2019-10-27
49,False,2019-11-03
43,False,2019-11-10
32,False,2019-11-17
57,False,2019-11-24
96,False,2019-12-01
33,False,2019-12-08
67,False,2019-12-15
0,False,2019-12-22
35,False,2019-12-29
32,False,2020-01-05
0,False,2020-01-12
42,False,2020-01-19
31,False,2020-01-26
0,False,2020-02-02
31,False,2020-02-09
31,False,2020-02-16
45,False,2020-02-23
61,False,2020-03-01
46,False,2020-03-08
0,False,2020-03-15
29,False,2020-03-22
28,False,2020-03-29
38,False,2020-04-05
0,False,2020-04-12
27,False,2020-04-19
0,False,2020-04-26
28,False,2020-05-03
69,False,2020-05-10
45,False,2020-05-17
46,False,2020-05-24
30,False,2020-05-31
30,False,2020-06-07
62,False,2020-06-14
32,False,2020-06-21
66,False,2020-06-28
47,False,2020-07-05
32,False,2020-07-12
33,False,2020-07-19
66,False,2020-07-26
33,False,2020-08-02
55,False,2020-08-09
44,False,2020-08-16
31,False,2020-08-23
31,False,2020-08-30
