signs of depression,isPartial,date
28,False,2019-01-06
0,False,2019-01-13
28,False,2019-01-20
28,False,2019-01-27
0,False,2019-02-03
28,False,2019-02-10
55,False,2019-02-17
81,False,2019-02-24
28,False,2019-03-03
31,False,2019-03-10
0,False,2019-03-17
83,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
45,False,2019-04-14
59,False,2019-04-21
0,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
31,False,2019-05-26
0,False,2019-06-02
31,False,2019-06-09
31,False,2019-06-16
62,False,2019-06-23
33,False,2019-06-30
0,False,2019-07-07
0,False,2019-07-14
32,False,2019-07-21
32,False,2019-07-28
31,False,2019-08-04
30,False,2019-08-11
43,False,2019-08-18
27,False,2019-08-25
28,False,2019-09-01
27,False,2019-09-08
27,False,2019-09-15
0,False,2019-09-22
80,False,2019-09-29
41,False,2019-10-06
28,False,2019-10-13
27,False,2019-10-20
0,False,2019-10-27
27,False,2019-11-03
0,False,2019-11-10
53,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
27,False,2019-12-08
28,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
25,False,2020-01-12
26,False,2020-01-19
25,False,2020-01-26
26,False,2020-02-02
26,False,2020-02-09
0,False,2020-02-16
61,False,2020-02-23
0,False,2020-03-01
25,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
22,False,2020-04-12
22,False,2020-04-19
45,False,2020-04-26
0,False,2020-05-03
23,False,2020-05-10
0,False,2020-05-17
50,False,2020-05-24
100,False,2020-05-31
25,False,2020-06-07
26,False,2020-06-14
26,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
53,False,2020-07-12
0,False,2020-07-19
27,False,2020-07-26
27,False,2020-08-02
41,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
0,False,2020-08-30
