symptoms of depression,isPartial,date
0,False,2019-01-06
33,False,2019-01-13
0,False,2019-01-20
33,False,2019-01-27
64,False,2019-02-03
32,False,2019-02-10
32,False,2019-02-17
32,False,2019-02-24
65,False,2019-03-03
36,False,2019-03-10
33,False,2019-03-17
48,False,2019-03-24
100,False,2019-03-31
34,False,2019-04-07
35,False,2019-04-14
35,False,2019-04-21
67,False,2019-04-28
33,False,2019-05-05
35,False,2019-05-12
35,False,2019-05-19
37,False,2019-05-26
0,False,2019-06-02
73,False,2019-06-09
0,False,2019-06-16
0,False,2019-06-23
57,False,2019-06-30
37,False,2019-07-07
37,False,2019-07-14
38,False,2019-07-21
37,False,2019-07-28
0,False,2019-08-04
0,False,2019-08-11
67,False,2019-08-18
32,False,2019-08-25
32,False,2019-09-01
63,False,2019-09-08
0,False,2019-09-15
32,False,2019-09-22
31,False,2019-09-29
32,False,2019-10-06
65,False,2019-10-13
64,False,2019-10-20
42,False,2019-10-27
0,False,2019-11-03
47,False,2019-11-10
41,False,2019-11-17
66,False,2019-11-24
31,False,2019-12-01
48,False,2019-12-08
0,False,2019-12-15
37,False,2019-12-22
34,False,2019-12-29
62,False,2020-01-05
29,False,2020-01-12
30,False,2020-01-19
30,False,2020-01-26
30,False,2020-02-02
91,False,2020-02-09
30,False,2020-02-16
58,False,2020-02-23
58,False,2020-03-01
39,False,2020-03-08
88,False,2020-03-15
0,False,2020-03-22
27,False,2020-03-29
27,False,2020-04-05
26,False,2020-04-12
39,False,2020-04-19
27,False,2020-04-26
26,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
88,False,2020-05-24
29,False,2020-05-31
0,False,2020-06-07
30,False,2020-06-14
46,False,2020-06-21
31,False,2020-06-28
0,False,2020-07-05
51,False,2020-07-12
47,False,2020-07-19
0,False,2020-07-26
32,False,2020-08-02
32,False,2020-08-09
32,False,2020-08-16
0,False,2020-08-23
30,False,2020-08-30
