what is depression -recession -great -economic,isPartial,date
51,False,2019-01-06
100,False,2019-01-13
67,False,2019-01-20
33,False,2019-01-27
49,False,2019-02-03
33,False,2019-02-10
44,False,2019-02-17
97,False,2019-02-24
67,False,2019-03-03
0,False,2019-03-10
34,False,2019-03-17
55,False,2019-03-24
34,False,2019-03-31
69,False,2019-04-07
36,False,2019-04-14
35,False,2019-04-21
0,False,2019-04-28
46,False,2019-05-05
0,False,2019-05-12
72,False,2019-05-19
38,False,2019-05-26
56,False,2019-06-02
76,False,2019-06-09
0,False,2019-06-16
56,False,2019-06-23
39,False,2019-06-30
38,False,2019-07-07
38,False,2019-07-14
39,False,2019-07-21
76,False,2019-07-28
38,False,2019-08-04
0,False,2019-08-11
34,False,2019-08-18
65,False,2019-08-25
66,False,2019-09-01
32,False,2019-09-08
64,False,2019-09-15
0,False,2019-09-22
64,False,2019-09-29
33,False,2019-10-06
44,False,2019-10-13
82,False,2019-10-20
97,False,2019-10-27
64,False,2019-11-03
96,False,2019-11-10
63,False,2019-11-17
51,False,2019-11-24
64,False,2019-12-01
65,False,2019-12-08
33,False,2019-12-15
0,False,2019-12-22
51,False,2019-12-29
32,False,2020-01-05
40,False,2020-01-12
46,False,2020-01-19
61,False,2020-01-26
51,False,2020-02-02
31,False,2020-02-09
31,False,2020-02-16
44,False,2020-02-23
40,False,2020-03-01
45,False,2020-03-08
45,False,2020-03-15
28,False,2020-03-22
27,False,2020-03-29
37,False,2020-04-05
52,False,2020-04-12
81,False,2020-04-19
27,False,2020-04-26
41,False,2020-05-03
27,False,2020-05-10
39,False,2020-05-17
30,False,2020-05-24
30,False,2020-05-31
30,False,2020-06-07
31,False,2020-06-14
63,False,2020-06-21
64,False,2020-06-28
41,False,2020-07-05
79,False,2020-07-12
43,False,2020-07-19
65,False,2020-07-26
0,False,2020-08-02
33,False,2020-08-09
65,False,2020-08-16
31,False,2020-08-23
61,False,2020-08-30
