baby blues -cartoon -dolly -comic -comics -bbq -movie -nashville -lyrics -shark -back -bar -hey,isPartial,date
0,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
46,False,2019-01-27
0,False,2019-02-03
0,False,2019-02-10
43,False,2019-02-17
0,False,2019-02-24
0,False,2019-03-03
47,False,2019-03-10
48,False,2019-03-17
0,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
49,False,2019-04-14
0,False,2019-04-21
0,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
49,False,2019-05-19
48,False,2019-05-26
0,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
0,False,2019-06-23
100,False,2019-06-30
48,False,2019-07-07
73,False,2019-07-14
0,False,2019-07-21
50,False,2019-07-28
100,False,2019-08-04
73,False,2019-08-11
49,False,2019-08-18
0,False,2019-08-25
46,False,2019-09-01
45,False,2019-09-08
45,False,2019-09-15
0,False,2019-09-22
45,False,2019-09-29
45,False,2019-10-06
45,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
44,False,2019-11-03
86,False,2019-11-10
43,False,2019-11-17
45,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
43,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
42,False,2020-01-19
0,False,2020-01-26
41,False,2020-02-02
82,False,2020-02-09
40,False,2020-02-16
0,False,2020-02-23
39,False,2020-03-01
0,False,2020-03-08
39,False,2020-03-15
37,False,2020-03-22
37,False,2020-03-29
36,False,2020-04-05
35,False,2020-04-12
0,False,2020-04-19
35,False,2020-04-26
35,False,2020-05-03
36,False,2020-05-10
35,False,2020-05-17
37,False,2020-05-24
35,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
39,False,2020-06-21
0,False,2020-06-28
78,False,2020-07-05
40,False,2020-07-12
79,False,2020-07-19
41,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
40,False,2020-08-23
0,False,2020-08-30
