depressed -scooby -anime -cartoon -wallpaper -backgrounds -wallpapers -cat -dog -fish -cats -dogs,isPartial,date
63,False,2019-01-06
56,False,2019-01-13
79,False,2019-01-20
47,False,2019-01-27
61,False,2019-02-03
84,False,2019-02-10
64,False,2019-02-17
56,False,2019-02-24
67,False,2019-03-03
41,False,2019-03-10
100,False,2019-03-17
48,False,2019-03-24
52,False,2019-03-31
53,False,2019-04-07
40,False,2019-04-14
90,False,2019-04-21
42,False,2019-04-28
78,False,2019-05-05
59,False,2019-05-12
63,False,2019-05-19
69,False,2019-05-26
35,False,2019-06-02
48,False,2019-06-09
66,False,2019-06-16
53,False,2019-06-23
58,False,2019-06-30
55,False,2019-07-07
63,False,2019-07-14
37,False,2019-07-21
27,False,2019-07-28
51,False,2019-08-04
63,False,2019-08-11
63,False,2019-08-18
45,False,2019-08-25
43,False,2019-09-01
73,False,2019-09-08
52,False,2019-09-15
39,False,2019-09-22
61,False,2019-09-29
67,False,2019-10-06
73,False,2019-10-13
62,False,2019-10-20
44,False,2019-10-27
56,False,2019-11-03
32,False,2019-11-10
50,False,2019-11-17
49,False,2019-11-24
71,False,2019-12-01
81,False,2019-12-08
53,False,2019-12-15
17,False,2019-12-22
36,False,2019-12-29
54,False,2020-01-05
50,False,2020-01-12
66,False,2020-01-19
60,False,2020-01-26
74,False,2020-02-02
53,False,2020-02-09
46,False,2020-02-16
64,False,2020-02-23
64,False,2020-03-01
44,False,2020-03-08
50,False,2020-03-15
40,False,2020-03-22
45,False,2020-03-29
54,False,2020-04-05
57,False,2020-04-12
38,False,2020-04-19
59,False,2020-04-26
66,False,2020-05-03
24,False,2020-05-10
68,False,2020-05-17
49,False,2020-05-24
62,False,2020-05-31
47,False,2020-06-07
63,False,2020-06-14
81,False,2020-06-21
40,False,2020-06-28
48,False,2020-07-05
48,False,2020-07-12
35,False,2020-07-19
59,False,2020-07-26
52,False,2020-08-02
47,False,2020-08-09
51,False,2020-08-16
43,False,2020-08-23
45,False,2020-08-30
