how to help depression,isPartial,date
0,False,2019-01-06
36,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
52,False,2019-02-03
66,False,2019-02-10
100,False,2019-02-17
34,False,2019-02-24
35,False,2019-03-03
36,False,2019-03-10
37,False,2019-03-17
36,False,2019-03-24
37,False,2019-03-31
38,False,2019-04-07
38,False,2019-04-14
0,False,2019-04-21
37,False,2019-04-28
37,False,2019-05-05
74,False,2019-05-12
38,False,2019-05-19
37,False,2019-05-26
36,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
38,False,2019-06-23
0,False,2019-06-30
0,False,2019-07-07
38,False,2019-07-14
39,False,2019-07-21
38,False,2019-07-28
77,False,2019-08-04
38,False,2019-08-11
38,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
35,False,2019-09-08
35,False,2019-09-15
34,False,2019-09-22
35,False,2019-09-29
0,False,2019-10-06
35,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
33,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
97,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
52,False,2019-12-29
33,False,2020-01-05
32,False,2020-01-12
66,False,2020-01-19
33,False,2020-01-26
47,False,2020-02-02
95,False,2020-02-09
0,False,2020-02-16
29,False,2020-02-23
61,False,2020-03-01
59,False,2020-03-08
30,False,2020-03-15
0,False,2020-03-22
28,False,2020-03-29
28,False,2020-04-05
27,False,2020-04-12
53,False,2020-04-19
27,False,2020-04-26
0,False,2020-05-03
28,False,2020-05-10
0,False,2020-05-17
56,False,2020-05-24
0,False,2020-05-31
28,False,2020-06-07
0,False,2020-06-14
30,False,2020-06-21
31,False,2020-06-28
31,False,2020-07-05
61,False,2020-07-12
30,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
31,False,2020-08-23
60,False,2020-08-30
